,statement,type
451,stewardess really funny now i could get the gent next to me to use some headphone this would be the perfect flight,POSITIVE
452,they were very understanding and helped me out thx comp,POSITIVE
453,ah no the staff wa perfect this morning at jfk more sleep for me,POSITIVE
454,haha that will indeed be a great day,POSITIVE
455,oh my gosh going to dm you now thank you,POSITIVE
456,if i had my tux it would be a date umosaicmecrazy http tco hapgbostu,POSITIVE
457,anything for you flyfi http tco jcedikyu,POSITIVE
458,twitter team you guy killed it for rescheduling me a soon a possible thank you,POSITIVE
459,i wish i would have seen this hour ago i wanted to see them tonight so bad cry,POSITIVE
460,i love the hipster innovation you are a feel good brand,POSITIVE
461,thanks guy got some sleep hang in there dfw with bad weather,POSITIVE
462,thanks,POSITIVE
463,great thank you,POSITIVE
464,no worry delay wa minor and dealt with nicely it wa captain of flight by the way,POSITIVE
465,hopefully now my application for jetblue donut designer will finally go through the proper channel,POSITIVE
466,please give special thanks to aaron in tampa office for helping me for literally two hour he is amazing mission accomplished,POSITIVE
467,thanks that would be awesome,POSITIVE
468,thank you off to la to do something very special,POSITIVE
469,thank you,POSITIVE
470,best gagent in a long time danny b for you dfw clt appreciated how up to date he kept you during irrops super professional,POSITIVE
471,sign me up,POSITIVE
472,thanks i think we have got it figured out,POSITIVE
473,believe me i understand flight wa originally booked for sunday flight wa cancelled flighted and rescheduled for today,POSITIVE
474,thank you for checking in ticket are purchased and customer is happy,POSITIVE
475,thank you i flew into newark from vail eagle,POSITIVE
476,haha no worry you guy are the best for spelling my name correctly,POSITIVE
477,thanks line moved quick already done,POSITIVE
478,i will thank you,POSITIVE
479,thanks to julian at login for getting me onto an earlier flight back to dca,POSITIVE
480,done,POSITIVE
481,beautiful shot thanks for sharing using flyfi to post your welcome not on this flight it wa a quickie,POSITIVE
482,fav airline,POSITIVE
483,the crew of swa a high five from this av b guy for it nice xw landing into nicely done,POSITIVE
484,thank you for the cheese platter and abundance of entertainment option time just flew by,POSITIVE
485,thank you for not cancelled flighting all flight and putting my husband life in danger driving in this weather safetyfirst,POSITIVE
486,captain on flight from phx phl at tonight wa hilarious greeting from the pointy end of the airplane haha thanks,POSITIVE
487,ok thanks i sent you a dm too you can disregard that,POSITIVE
488,mint seat are awesome best business class in the you,POSITIVE
489,the entire flight crew on flight from bos to phl is doing a wonderful job and making this experience not totally suck,POSITIVE
490,whoooo hooooo just crossed at my current pace i should reach for the year,POSITIVE
491,i tried that they will not book you with another airline i wish i had flown with you we are now stuck in fl til wed,POSITIVE
492,great to see the redsox plane and your reminder you ny side by side at jfk catsanddogslivingtogether http tco kfuyyokufv,POSITIVE
493,so is that two seat avail so far for you,POSITIVE
494,appreciate the reply hopefully those lax agent get the memo cheer,POSITIVE
495,sorry to hear outsourcing plan boise is best staff cust service in the country boise,POSITIVE
496,you guy operate a world class company and for that i thank you,POSITIVE
497,thanks for taking it up a notch leinenkugels craftbeer goodflight norfolk http tco tgsljjng,POSITIVE
498,thanks,POSITIVE
499,big shoutout to the crew on bos gtjfk amp jfk gtroc amp gate crew at c bos amp jfk long day of delay made better by them,POSITIVE
500,i am scheduled for the morning day after the fact yesnot sure why my evening flight wa the only one cancelled flightled,NEGATIVE
501,that is horse radish,NEGATIVE
502,so our flight into ord wa delayed because of air force one but the last flight to sbn is at min from now we just landed,NEGATIVE
503,why did you load you in this flying sardine can if you knew the pilot were hour late flight incompetent beyond belief,NEGATIVE
504,that is a stock response delay not a frustrating a poor cust serv amp being told by ppl to wait amp they would come back but did not,NEGATIVE
505,frankly worse customer service ever problem will happen how you deal defines a company never again united,NEGATIVE
506,mco gtca flight almost full of people screwed by the msy dca cancelled flightation and did not cancelled flight swa=mistake,NEGATIVE
507,i receive bad customer service and ended up spending several hundred dollar to accommodate my family during each cxl flight,NEGATIVE
508,you are killing me sche a flight to board min after mine arrived with gate on other side of airport genious,NEGATIVE
509,week to refund this ticket totally unacceptable fix this or i will put it on blast on social medium and tv,NEGATIVE
510,no private msg me and will provide detailsu really need customer svc training for your staff,NEGATIVE
511,can you not rt our fleet on fleek http tco gialyl,NEGATIVE
512,any info on why flight from sju to jfk is already delayed hour,NEGATIVE
513,i have tried no le than time today to get in touch with your service desk beginning at est i am having no luck help,NEGATIVE
514,new problemhad wrong last name on reservation which is airway fixed new can not get through tsa,NEGATIVE
515,who run the show at the airport have a boarding pas say you airway and i have to wait in american line yousuck,NEGATIVE
516,computer are down but you stopped giving update and took my flight info off the app that is just ridiculous keep people updated,NEGATIVE
517,love cancelled flightling ticket and not telling their customer flyunited,NEGATIVE
518,in ord waited min after crew member left before gate item came flight attendant sarcastically said good luck and walked away,NEGATIVE
519,understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,NEGATIVE
520,it is been booked into first class with curbside delivery hour from now i am counting on it teamusa,NEGATIVE
521,we have official complaint signed by americanairlines lima supervisor customer relation pls compensate the hour delay,NEGATIVE
522,but the hour policy when i called and they said i did not report it soon enough what would have changed if i had noticed sooner,NEGATIVE
523,the most frustrating flying experience one continuous i dunno what time you will leave today dunno that is code for,NEGATIVE
524,hi i just got a message that part of my flight is cancelled flightled i can not rebook online and nobody answer my phone call help me,NEGATIVE
525,i need update on my flight amp i have been on hold for over hour,NEGATIVE
526,so you fail again flight to rdu sitting waiting on flight attendant your logistics are not good,NEGATIVE
527,no i do not spoke with baggage contact at number said they will try to get bag to stay at iad for pick up tmrw,NEGATIVE
528,who intentionally buy a flight with a hour layover and what kind of airline would charge to fix it wow usairways,NEGATIVE
529,do you do auto callback so i do not have to wait on hold,NEGATIVE
530,i did not report the updated info do not know how to reach them without a super long wait on hold at your main number,NEGATIVE
531,plus what about food and taxi,NEGATIVE
532,hrmin right now any end in sight,NEGATIVE
533,you are really going to let and get the best of you http tco vudwjmlyb,NEGATIVE
534,claim flight cancelled flighted due to weather at destination but delta ha not cancelled flighted flight on same route,NEGATIVE
535,haha i did they said it wa not their fault somehow you guy r a joke,NEGATIVE
536,your customer service is inferior to that of a nationalized third world nation airline get it together,NEGATIVE
537,why doe your iphone app not have any sort of notification option,NEGATIVE
538,i have been trying to reach your customer service for two day i have received zero response never traveling aa again,NEGATIVE
539,flight agent now wandered off pilot came out looking for her went to charge her personal phone which she would been txting on,NEGATIVE
540,first you lost all my bag now you cancelled flight my flight home min wait to talk to somebody poorservice notgoodenough,NEGATIVE
541,sat on a plane for hr on then we finally took off,NEGATIVE
542,i have to spend more than the cost of the flight just to get a free room and transportation to and from the airport,NEGATIVE
543,my mom flight tomorrow cancelled flighted w no notice phone system said callback in hour and it been i need to go to bed,NEGATIVE
544,flight veers off icy runway at most dfw flight cancelled flighted mon http tco qpownuv figure right,NEGATIVE
545,yo you need a new website really badly this day and age,NEGATIVE
546,now about two dozen back in line to see a single csr for reflight booking problem final leg kiosk on fritz,NEGATIVE
547,why would you charge money to transfer point to someone,NEGATIVE
548,i have never seen such incompetency from a gate agent in year of business travel dfw b gate agent need training or new job,NEGATIVE
549,f denhx impressive lack of concern by hr late flight flight attndt wrecking havoc on customer travel smugsmirk norush,NEGATIVE
550,even so change could not be made online instructed to call an agent maybe the syastem should allow agent link passenger,NEGATIVE
551,you can not claim weather with your hardworking crew pulling seat out of a plane do the right thing but we both know you will not,NEGATIVE
552,do you not try to get customer to their destination no help to get on another airline if you had no flight for day,NEGATIVE
553,yet another delay missed connectionand your customer service ha an attitude with me wow,NEGATIVE
554,no access to dividend mile and for a week the automated phone keep telling me to call back late flightr frustrated livepersonplease,NEGATIVE
555,nashville airport ha runway open it appears southwest is only airline cancelled flighting flight is this likely to change,NEGATIVE
556,no my flight plan have been delayed until tuesday due to your computer crash,NEGATIVE
557,big surprise nogate waiting for our plane same fucken issue everything i fly you fail worstairlineever,NEGATIVE
558,tough night two minute call on hold delayed here in phoenix for two day because of one aircraft not ready not acceptable,NEGATIVE
559,but it is hard to stay upset at someone when they at least try to show remorse,NEGATIVE
560,min on hold trying to book award flight because site error out agent ask for my pin to see platinum availability badbadbad,NEGATIVE
561,min on hold drove hour to get my delayed bag i just want to pick it up at sju,NEGATIVE
562,flight from chicago to houston over hour and no pretzel or peanut seriously about passed out,NEGATIVE
563,that is okyou may keep my and lose my bag with no info but you no longer have my trust bad way to handle this,NEGATIVE
564,dropping the ball again no catering plane switch no gate attendant hour late flight really nice,NEGATIVE
565,good care of their customer if anything happen to then take you for getting me back to nyc screw you,NEGATIVE
566,i think problem resolution should be decided on your end especially if you would like me to continue flying your airline,NEGATIVE
567,i have been on hold for min and counting because you charged my credit card for bag but provided no receipt and said error awful,NEGATIVE
568,it is my st birthday and my sister is coming to celebrate but her flight keep cancelled flighting plz do all you can to get her here,NEGATIVE
569,ur employee named van ticket counter in philadelphia extremely rude a father trying to get home to sick kid missed flight,NEGATIVE
570,horrible experience ever with airlinehave to reconsider any future flight customer service http tco eczhcmmvi,NEGATIVE
571,for tomorrow some site show flight from ewr cancelled flightled is it,NEGATIVE
572,i like the customer service but a min delay just for connecting passenger seems too long va,NEGATIVE
573,unbelievable that i can not even wait on hold to speak to a human being to resolve my issue the system simply hang up,NEGATIVE
574,the phone number the gate gave me doe not work either what is your customer service phone number,NEGATIVE
575,yes but you are still human i hope dealing with all the horror story people share i complained to dot everyone should,NEGATIVE
576,they are now being sent off the plane doe anyone at jetblue have a clue,NEGATIVE
577,quick serious question any resource rating showing the quality of service is better than th place http tco dewithpew,NEGATIVE
578,can you not get the first flight of the day off the ground on time let you go,NEGATIVE
579,i am stuck in fort lauderdale,NEGATIVE
580,i believe it is irina on the flip side super disappointed that eatup cafe is not available on this bos gt sfo flight today,NEGATIVE
581,that is the flight i wa placed on after original flight to charlotte wa cancelled flightled now is on hr delay,NEGATIVE
582,the captain turned off the seat belt sign so people can get up and walk around that is not good,NEGATIVE
583,now what http tco hpsqvrjk flight wa gone when i got off plane businesstravel goodenoughmother,NEGATIVE
584,call me chairman or call me emerald after what you did today to me you can call me a former customer,NEGATIVE
585,we saw one he wa a useless a the tsa agent who inspected my shoe,NEGATIVE
586,no one received text alert automated call anything either literally no information a to what wa happening,NEGATIVE
587,gate change two delay even the crew think the airline suck,NEGATIVE
588,flt clt to day supposed to depart the till no crew schedule contact the pilot,NEGATIVE
589,and now your rep just hung up on me after over min on hold because i asked for a supervisor i am furious right now,NEGATIVE
590,no you are not you are trying to book me past when i need arrive but you are still selling seat on the day i am trying travel,NEGATIVE
591,seriously with all the service issue you are having right now this is what you decide to tweet unbelievable,NEGATIVE
592,taylor you got to love swa responsiveness at the least huh,NEGATIVE
593,flight been cancelled flightled can not get through to the desk and nothing showing online under my reservation what do i do,NEGATIVE
594,i am pregnant with twin and you are going to abandon me overnight in an airport no hotel when it is your fault,NEGATIVE
595,except all of that delayed the flight anyway,NEGATIVE
596,get flight into the air,NEGATIVE
597,let me assure you my travel time is hm not hm timezones accuratetraveltimes rdtimethishashappened http tco ecbicf,NEGATIVE
598,flight ua been sitting on tarmac for min with no report a to whyany input,NEGATIVE
599,sits on a throne of lie,NEGATIVE
600,flight cancelled flightled today now we have been on hold for over an hour,NEGATIVE
601,late flightly you have always been late flight please get back to the old swa,NEGATIVE
602,my ex boyfriend pick up my call more than you do cancelled flightedflight nocustomerservice americanairlines fail,NEGATIVE
603,never let you me down every single flight get delayed,NEGATIVE
604,flight ua got delayed hour due to a mechanical issuecould use a free drink or to make up for this inconvenience,NEGATIVE
605,i am in line at the airport right now will you cover hotel fair or am i to sleep in the airport,NEGATIVE
606,i do not know no one would tell me where they were coming from i would guess so a that is where we had all the change to flight,NEGATIVE
607,i have never had anything bad to say until now no love for faithful customer,NEGATIVE
608,while i am sensitive to this fact i do not believe that warrant poor service a little help amp compassion go a long way,NEGATIVE
609,all your online resource say we are on time but clearly we are not this is not very information age of you,NEGATIVE
610,you make it hard to fly with you delayed over an hour and now the plane is turning around amp heading back to the gate connection,NEGATIVE
611,your people are kind and hardworking the infrastructure you have given them is horrid massivefail failphone fail,NEGATIVE
612,do not bother they do not pick up the phone worst customer service going,NEGATIVE
613,flight is not leaving at because we have not even begun to board yet please update your website a soon a possible,NEGATIVE
614,what an incredibly arrogant thing to say while i sit here at ofhare waiting for your incompetent airline to refuel on a,NEGATIVE
615,feeling like a true united customer stuckon the tarmac in dc for over hr unitedfail,NEGATIVE
616,it is cool your customer told me they did not care either it is expected,NEGATIVE
617,lt lt lt lt lt shoddy customer service of no use whatsoever unitedairline,NEGATIVE
618,any option for luggage assistance on the ground at hpn flight delayed hour amp we will have sleeping kid when we land,NEGATIVE
619,yepused that twice no case id number assigned just tried it again get screen that say thank you for submitting your request,NEGATIVE
620,you really need some customer service training for your unhappy ee in the morning in chicago gate k at chking her schd,NEGATIVE
621,what is aa going to do to fix their utterly embarrassing customer service you will not even answer the dang phone,NEGATIVE
622,doe not want me to get home,NEGATIVE
623,the phone line disconnect how can i be in the queue to be answered when the phone line simply disconnect when i call,NEGATIVE
624,i am sitting on the plane too many predictable mechanical problem still onboard this is getting bad,NEGATIVE
625,can we get a honest update on departure of flite been on plane with infant child,NEGATIVE
626,how do you not do maintenance on m while it sits for two day frozen line found after it boarded come on faail mci,NEGATIVE
627,is seriously the worst i do not remember the last time i or someone i knew had a flight that wa not delayed cancelled flightled etc,NEGATIVE
628,will not transfer flight ticket to accompany an yr old who is active military mom had to have emergency brain surgery wow,NEGATIVE
629,ticket counter people here are not helping and just want to charge more money even after this horrible day,NEGATIVE
630,on a seg flt yvr to zurich why would you credit all mile and but only segs on full fare,NEGATIVE
631,just need to know why it wa not done like it wa promised it would yesterday,NEGATIVE
632,why are you all trying to fly me to chicago when i do not live there send me home now bullshit as customer service,NEGATIVE
633,we have to stay in chicago overnight and meet up with our bag there i hope they stay put and do not get put on a flight,NEGATIVE
634,severely under staffed at iah,NEGATIVE
635,said that aa doe not provide in flight wifi on the route to china based on some federal law but united doe why is that,NEGATIVE
636,what a disaster flight missed passenger count by since it wa done manually really,NEGATIVE
637,you suck big donkey ball,NEGATIVE
638,i should not be made to feel like a criminal because i want to sit near my year old on a flight jetblue http tco qgtcaoju,NEGATIVE
639,can not add my frequent flyer number on your website can you help,NEGATIVE
640,there are a lot of unhappy cold people on the bridge in freezing temp for an hour not given any info,NEGATIVE
641,when will email address username sign on be available it is been a while,NEGATIVE
642,yes i have been waiting for four hour and no one ha been able to help me,NEGATIVE
643,flight scheduled for pmtold at am that flight is cancelled flightled after sitting on cold plane for hour,NEGATIVE
644,yes there were plenty of seat available so why did vicky thomas refuse to give one to a million mile flyer,NEGATIVE
645,ua from madrid arrived no agent mass confusion we sent to and fro by ua employee maryjo wa rude and unhelpful,NEGATIVE
646,terminal e in miami is still the worst most smelly airport ever thanks for nothing,NEGATIVE
647,great decision making skill flight ops iah bag make a minute connection and i do not flight pushed early disappointed,NEGATIVE
648,no it weighed and it wa the only checked bag,NEGATIVE
649,when i check online it state status closed what doe this mean a i have yet been able to reach a live person,NEGATIVE
650,you asked me to dm then ignore them please assist in changing to another flight today feb fra to mco avoiding iad,NEGATIVE
651,amp finally he wa told he could not use the front of plane restrm he wa row though myself others in row behind him used w no issue,NEGATIVE
652,last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies,NEGATIVE
653,seriously it is no wifi on a hr flight from cle sfo you are the only airline without wifi,NEGATIVE
654,you told me you changed my flight and i am in the ottawa airport and ac can not find my reservation what is wrong with you,NEGATIVE
655,unfortunately that is not an available option with our current system sorry guy that is a certain fail fix it plz,NEGATIVE
656,do not need your apology need my bag took minute from landing to get it unacceptable,NEGATIVE
657,thanks for getting back to me but i will find other airline in the future,NEGATIVE
658,i will be patient in my luxurious middle seat on my next delayed flight,NEGATIVE
659,hour on tarmac in charleston and still can not get a response after a week unacceptable,NEGATIVE
660,what is happened to your customer service cancelled flightled flight in day amp an uninformed and unapologetic staff nolove cali,NEGATIVE
661,from sfo to hnl with zero entertainment systemsyouareonyourown,NEGATIVE
662,is overweight so you pull dozen passenger off why not luggage seriously,NEGATIVE
663,disappointed that my flight back to boston from pr wa cancelled flightledrebooked the next daydelayed that one too and no compensation,NEGATIVE
664,have better customer service at john wayne airport,NEGATIVE
665,after waiting for a delayed plane we sat on the plane for an hour waiting for a late flight passenger that is b too,NEGATIVE
666,a it always is help to communicate to customer,NEGATIVE
667,you are customer service is unbelievably bad abysmal i have been on the phone for well over hr tonight hung up on by yr ppl x,NEGATIVE
668,priority baggage evidently mean it come out last,NEGATIVE
669,did i mention one bag is an infant car seat amp we have been stuck with yr poor replacement on icy mtn road,NEGATIVE
670,i understand that but i am not even being put on hold it say try again late flightr goodbye,NEGATIVE
671,why i will not check my carry on watched a handler throw this bag miss the conveyer belt sat there min http tco lyoocxmsh,NEGATIVE
672,you rerouted my bfs flight and he is diabetic with little insulin even though we tried to change it the agent would not do it,NEGATIVE
673,there is a lot of talk and no doing mia sfo on a year old plane nonewplanes old shame http tco twetpxuppn,NEGATIVE
674,flight to dca i need to change a soon a possible help can not get through,NEGATIVE
675,all these change way to stick it to your premiere k loyal customer why make thing harder for those that loyal to you,NEGATIVE
676,oki know door close minute before takeoff stop telling me my flight will leave in minute when we have not boarded,NEGATIVE
677,i hope not to see the same issue on my return flight tomorrow,NEGATIVE
678,customer service,NEGATIVE
679,my wife sick yr old twin and i have been waiting in line now for hr to see an agent phone agent said nothing til tuesday,NEGATIVE
680,ruining vacation left and right who would have thought an airline can cancelled flight ticket without telling the buyer,NEGATIVE
681,seriously flight delay cinci to philly due to new ground staff miss connection to man uk and now have to argue for hotel wtf,NEGATIVE
682,this is the line in denver to rebook due to weather issue do better http tco tmccexyaaq,NEGATIVE
683,failingyourcustomer one by one,NEGATIVE
684,doe not charge ticket change fee do they not incur the same mysterious cost that you incur,NEGATIVE
685,how can you not be taking call i need to change my flight,NEGATIVE
686,flight sitting fully loaded for over an hour air conditioning barely working,NEGATIVE
687,dropping passenger with small baby and infant at your san juan terminal a unloading baby officer writes me ticket for,NEGATIVE
688,are you people cruel or just stupid why are you posting my personal email on the damn internet have you lost your mind,NEGATIVE
689,narrowly made standbylots of snag this trip,NEGATIVE
690,took a flight yesterday fron tpa dfw au bag went to iah today bag went to iah dfw and then back to iah still no bag,NEGATIVE
691,now down to only one agent helping a stagnant line of almost customer super,NEGATIVE
692,got duped w a connection on st flight sneaky now you will not give me a seat on an earlier flight w availability shameful,NEGATIVE
693,is really going to hear my mouth about this bag situation,NEGATIVE
694,what is your phone number i can not find who to call about a flight reservation,NEGATIVE
695,usairways disappoints again cancelled flighted flight missed appointment promised refund is a lie,NEGATIVE
696,can not get anyone to deal with me in person cowardly customer service i can not be looked in the eye by anyone,NEGATIVE
697,is there something wrong with the website no matter what flight i select it say it is no longer available,NEGATIVE
698,after multiple attempt i wa finally able to submit them late flight last night,NEGATIVE
699,broke the stroller my wife and baby gate checked they told her it is not their problem calling the a list preferred line now,NEGATIVE
700,you mean take more of my time to write you a physical letter because the fraud department doe not have email or telephone right,NEGATIVE
701,trip cut hr short due to flight change massive layover no peanut or cracker asked for ho and received about oz,NEGATIVE
702,can you please follow for a dm on a missing bag,NEGATIVE
703,please secure the footrest shelf in business class on a airplane http tco zlbvexmcj,NEGATIVE
704,will you cover the cost of my car service waiting time,NEGATIVE
705,now you have cancelled flightled my flight first a priority ticket bumped and now this you are losing customer people are furious,NEGATIVE
706,can you connect me to a person without having to wait hour on hold i still have not been able to resolve the problem,NEGATIVE
707,they are all reservation number and none are in hungary and my phone not working here you make it too difficult,NEGATIVE
708,i am on flight and no booze being served min in what give lostrevenue angryandsober bachelorpartymishap,NEGATIVE
709,if weather is bad would not your folk try extra hard to communicateor load bag onto flight oranything,NEGATIVE
710,about flight all using same gate w bus to the plane awful boarding process hour and a half late flight,NEGATIVE
711,flight from vega to houston cancelled flighted this morning due to operation what doe this mean thank god i woke up early today,NEGATIVE
712,phl why doe it take an hour to offload bag especially after taking min to get a jetway to get off plane after landing,NEGATIVE
713,i would like to apologize to the gate agent for flight aa i wa not aware that zone wa after the nine other precious gem,NEGATIVE
714,hr late flightr i get a call back and immediately disconnected,NEGATIVE
715,will not waive fee due to neptune can not use credit w of paying fee could not get to destination to use their tic waivethefee,NEGATIVE
716,is it insulting that offer a non required voucher a a goodwill offeringat least my bag can fly round trip,NEGATIVE
717,i can not even use my return flight home because the change fee you charge are too expensive forcing me to purchase a new ticket,NEGATIVE
718,i am rebooked now but the line wa people deep,NEGATIVE
719,cust serv rep who are unable to change reservation in your system check in unaware of cancelled flight that i got word on night before,NEGATIVE
720,just give up your service is terrible if i wa not forced to use united on certain route i never would,NEGATIVE
721,can i get any kind of update on the delayed flight from boston to houston at really need to be back home tonight,NEGATIVE
722,that would be appreciated just please do not send me to the same page with long form amp limited character direct email,NEGATIVE
723,diverted and missed our connecting flight wa just told that my bag is on it is way to msy if you only had people that cared,NEGATIVE
724,need assistance line is out the door and travelling with kid,NEGATIVE
725,i will put together a very serious email with all the issue that arose on our vacation due to your staff i will post it here,NEGATIVE
726,upon entering plane to stewardess can i have some water no we do not do that please take your seat,NEGATIVE
727,the amount of money i spent on hotel for a week bc of flight cancelled flightlation another flight doe not make up for the money lost,NEGATIVE
728,flight clt to phl i wa st on listsomeone else got spot rude employee in coach wouldt give id said he wa cute red head,NEGATIVE
729,still cricket from customer service,NEGATIVE
730,a a k i am always hoping for improvement,NEGATIVE
731,this merger with a cluster of inefficiency and misinformation when is it going to be done,NEGATIVE
732,charlotte staff need prayerdisappointed in response to mishap lotttttttt of pissed off people here,NEGATIVE
733,on unscheduled aircraft change please have a better system in place not worth the paid upgrade refund,NEGATIVE
734,from the air another missed cnxn day atc went on strike in belize this am now family amp i miss cnxn in ewr please see my dm,NEGATIVE
735,thanks for being so bad you make a two day train trip look appealing,NEGATIVE
736,this is getting ridiculous now we are missing our connection,NEGATIVE
737,you really should clean the food and coffee stain off of the area around the seat when new passenger come aboard gross,NEGATIVE
738,missing flight attendant delayed flight prime example how person impact s of people hnl gt iah ua wastedtime,NEGATIVE
739,call the number listed sure by next friday i should get a real live person on the line http tco tjuumdd,NEGATIVE
740,change fee same price of new ticket not logical,NEGATIVE
741,service rep did not say i wa dumb just had the tone of voice like i should have known about it,NEGATIVE
742,i am trying to get my dad wheelchair and no one is answering at dulleswe have tried to call back onmultiple time,NEGATIVE
743,i have been on hold for approaching hr for an issue when i changed my ticket online frustrating,NEGATIVE
744,lack of communication with other office the customer amp you all never update ur system you guy are established this mess,NEGATIVE
745,a much i have paid in fee plus hotel and food because of your change i could had flown with a more reliable airline nojetblue,NEGATIVE
746,right we are delayed so i am crabby also why do you allow one family member to purchase earlybird check in and hold row,NEGATIVE
747,you guy suck,NEGATIVE
748,lost bag in huston we leave for a bahamas cruise today from nola and had to buy all new stuff customer service is non existent,NEGATIVE
749,is there not a faster way to get me to columbia sc than making me stay in clt over night after my delayed flight,NEGATIVE
750,highly disappointed in the baggage service with this merge with you guy have lost our st bag and now missing item,NEGATIVE
751,your a list program is a complete joke your company doe not value loyal customerstime to look for another go to airliner,NEGATIVE
752,i understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding smh come on,NEGATIVE
753,and do not hope for me having a nicer flight some other time try to do thing right you sold me those ticket with that connetion,NEGATIVE
754,i hate you for this http tco gwwrvbrq,NEGATIVE
755,you may dislike delay but i paid you we had an agreement that i paid you and you got me to my destination at a certain time,NEGATIVE
756,heyyyy guyyyys been trying to get through for an hour can someone call me please,NEGATIVE
757,disappointed with the missed connection from roc to slc and no reimbursement even tho friend who is a pilot said it wa due to atc,NEGATIVE
758,lipstick on a pig still a pig ur new baggage claim sju is a disaster no chair min wait for baggage fail,NEGATIVE
759,how did my prime ticketed seat get switched on aa not sure what is going on here,NEGATIVE
760,a usual my next flight show on time but it is suppose to leave in minute and ha not boarded,NEGATIVE
761,what happens if it is not located,NEGATIVE
762,a phone call or email when you cancelled flight a flight would be lovely,NEGATIVE
763,this mean within one week i will have filed compensation complaint to your website,NEGATIVE
764,you airline is doing rather poor right now in slc waiting to take off wa suppose to take off now hour and minute ago,NEGATIVE
765,three hour on hold then disconnected conf ebhset need to be home sunday for interview,NEGATIVE
766,what is up with flight no gate agent or plane at phx b nice customer service,NEGATIVE
767,unfortunately had a bad experience flying with you on saturday inpolite crew bad delay,NEGATIVE
768,you stated their issue a plane not moving a cargo door open on plane umm ok a little strange,NEGATIVE
769,thanks for trying to take my money without notice in any other industry you cancelled flight a service a refund is issued cont,NEGATIVE
770,can not leave the tarmac uniteds gate agent can not agree on a head count min now counting a people max epicfailunited,NEGATIVE
771,flight is delayed hour no reason given sure love flying with your airline whatajoke,NEGATIVE
772,just when i thought you guy were done messing up you make it worse your airline ruin hope and dream,NEGATIVE
773,boarded flight at am now still sitting on runway lot of fun,NEGATIVE
774,i waited on hold for too long i should not have to wait on hold forever when i never received a confirm in the st place help,NEGATIVE
775,i interviewed yesterday a a flight attendant i wa the last person the recruiter said they lost my file n came back to interview me,NEGATIVE
776,item not mine mysteriously ended up in my checked bag after a ewr to yow flight missing a black box http tco sjqemdtqma,NEGATIVE
777,your wifi is shit fix that up before i jump out of the closest bloody fucking emergency exit,NEGATIVE
778,i do not have a conference number i spoke with courtney in texas and david before that they finally fixed mine after an hour,NEGATIVE
779,why doe not anyone make a better effort to retain customer it should be an easy fix i just want to travel aa,NEGATIVE
780,the premier desk wa able to rebook me with our friend at only problem is now i have to pay for a checked bag,NEGATIVE
781,flight ord gate agent tried to prevent me from taking onboard a bag i have used for year flight crew wa more reasonable,NEGATIVE
782,have you considered adding the we will call you back when we have someone free feature to your support line,NEGATIVE
783,unsmiling rep told you hotel shuttle come like every minute breezy min late flightr we are taking a cab you going to reimburse,NEGATIVE
784,still waiting for bag from flight it landed an hour ago,NEGATIVE
785,st a reaccommodation now a delayed flight for this one amp the gate agent still ha not mumbled a word folk getting anxious,NEGATIVE
786,be worseoh you can not delayed with no reason on the way to lonflight cancelled flighted with no reason le than day before returning,NEGATIVE
787,i find it funny that responds but you do not your customer service is the worst wedontcarebecauseyoupaidalready,NEGATIVE
788,wtf stuck at jfk for hr in a delay to boston cuz you say snow no snow on weather map wtf,NEGATIVE
789,there is a fat man stuck in your airplane bathroom,NEGATIVE
790,sorry i meant flight which wa supposed to depart at now say what is the issue,NEGATIVE
791,i have received one previously on the th having checked odd a you said there wa no complaint associated with my e mail,NEGATIVE
792,rebookedarrived hour late flightr last year hr to san diego and the no inflight entertainment,NEGATIVE
793,you have the ability to switch my flight to but you can not tell me where my bag are,NEGATIVE
794,made it to the bahamas for work but my luggage did not i know travel happens but is there anyway i can get more help info,NEGATIVE
795,i will never fly you airway or american again and i will share this nightmare of a story to all the many others we know who fly,NEGATIVE
796,delayed hr flight pit iad finally board the plane sit half hour amp crew is at their hr limit amp we deplane unacceptable,NEGATIVE
797,been on hold over minute you can fly but not answer the phone,NEGATIVE
798,aa why have you cancelled flightled our flight without courtesy of notifying you or alternative very poor,NEGATIVE
799,nd time this occurred in week i am not patient i have no choice antitrust issue,NEGATIVE
800,been on hold to rebook a flight to cmh for hr your rebook website is crashed,NEGATIVE
801,what is the delay if the system is not down,NEGATIVE
802,i am trying to check into my am ct flight tmm on the desktop website and it is not working some sort of caching bug so is,NEGATIVE
803,i have been on the line waiting for minute again,NEGATIVE
804,flt rsw could have extended the courtsey of waiting min of you gate closed in r face ur fired,NEGATIVE
805,i do not know who that may be i wa also working from home thanks for nothing,NEGATIVE
806,no they offered the flight i paid then they changed itthis is the nd time you have done this to me ruin cruise plan,NEGATIVE
807,so you are saying that customer care doe not report to anyone their response is humiliating for a company that serf the public,NEGATIVE
808,at least you got a response from via twitter i went for yesterday,NEGATIVE
809,so the seat next to me b on flight to seattle ha a tray table that is falling off http tco hajlkqjw,NEGATIVE
810,is the of airline hrsminonhold,NEGATIVE
