statement,type
yikes i wa responding to the tweeter above who said one of trump crime wa nepotism,SARCASM
a lot of british and american are anti immigration yet when asked about israel they say they can do what they want,SARCASM
howard murdoch bolt ipa dingbat etc promoted a fear of eviction bucketloads of propaganda deceived voter suggestion aussie should go back to where they came from wa later used to highlight the hypocrisy of gov abuse of refugee,SARCASM
left should probably keep attacking the centre left rather than looking at the bigger issue party is bigger than country after all buddy,SARCASM
whatd you say earlier to me you are deflecting gop logic,SARCASM
trump grandfather came here from germany after avoiding the military,SARCASM
not to brag but i consider myself a professional catastrophisor i actually consult for others in case they can not catastrophise a efficiently a me no one ever thanks me,SARCASM
i would respond to that but i should check my ci white male privilege right,SARCASM
you think i am actually arguing that life ha the same complexity a an indiana jones movie you still do not know what sarcasm mean do you please look it up in the dictionary lol,SARCASM
do not disagree with dave he is a former pro athlete so he know more,SARCASM
funny that you want to stay part of an open organisation that ha eroded parliamentary sovereignty,SARCASM
yep that wa thatcher agenda payback for daring to strike because cutback in power resulting in 3 day week how dare the miner ask for a living wage better education for their child and decent housing,SARCASM
multiple grammatical error in a tweet correcting an obvious spelling mistake,SARCASM
every self proclaimed anarchist went thru an academic curriculum that made them the way they are,SARCASM
really and what are you doing now if you do not like my reply then you should of thought about that before you replied to my tweet last night your debating skill amaze me,SARCASM
one of the guest clearly told the btv anchor bos after 2 day nobody will remember,SARCASM
canada export asbestos all over the world and you want to speak on american coal killing people,SARCASM
a silly hokum argument from someone telling someone else to shut up and suck it up,SARCASM
that s not right at all it s all climate warming global change weather perhaps,SARCASM
lol seriously a fucken actor when the president elect aka penny bos is a reality show host,SARCASM
not sure if or not but build the wall repeal obama care are future event not past,SARCASM
the irony of an attorney general encouraging illegal activity and bashing those who want to follow the rule of law,SARCASM
more assertion from the christian the lying spiteful christian,SARCASM
there wa also this voter fraud case in iowa involving a republican more,SARCASM
i doubt many people in football in the you k will have the iq to see it is value,SARCASM
unfortunately it a harsh reality we regard ppl on basis of belief faith,SARCASM
they have written horrible thing about nole for 2 yr now they attack noles fan for bias,SARCASM
that is why i tend to ignore business medium and i do not have time,SARCASM
not to mention a man hit a woman at a march and the protester said she deserved it,SARCASM
you have to admit that product is the most american solution to an insect problem though perhaps better than offering them salt only to watch them explode salt doe not kill mosquito,SARCASM
really now you value government oppression over freedom what are you muslim no sorry that is racist,SARCASM
that s is indeed why i tuned out the triangle from hell ha been made 1000x worse because it s totally one sided towards hopeless now sally is going to loose out to a felonious logan that nobody gaf about who want to guess how quinn v brooke turn out,SARCASM
but you know her kid are apparently being beaten because they drank from a public water fountain i had no clue,SARCASM
5000 right around the corner it is a double up pattern lol okay i am being a little,SARCASM
victor are you really telling woman how they should feel about a tweet while claiming it wa sexist,SARCASM
a clinton supporter so stupid she doe not know how stupid hrc wa,SARCASM
you told someone to show some respect and immediately engaged in an ad hominem attack,SARCASM
way to affect the change you want to see in this world facepalm i did do something i did not vote haha,SARCASM
this is medium lying to push a narrative hypocrisy,SARCASM
i guarantee you that if corbyn is forced out the tory ukip will be in coalition well done,SARCASM
yes i m sure that list wa long,SARCASM
yes despite having lived in lincoln for many year,SARCASM
because of the liberal policy of liberal democrat nyc sanfran is moving conf prior story kid complain about rule punishing 4 stopping suspicious man you need these thing 2 protect r not free,SARCASM
they have signed on for a former kgb communist but claim potus is socialist inners,SARCASM
hillary clinton said that in regard to sidney blumenthal email she only looked content not source,SARCASM
you re correct rob while the math doe work it s just not the right math that s the amount it would cost you if you worked every hour of every day and the amount wa 001 per minute glad to see people don t just blindly like tweet that back their point of view,SARCASM
good then stop going for people who is opinion is that he wa wrong,SARCASM
here are my two favorite quote that reflect cenks view on woman the only reason you would not want equality for woman is if you are an incredibly weak man and if you were a woman and did not have equality would not you be angry sure sound misogynist to me,SARCASM
what are you like 11yrs old cuz your failure at simple logic show it you who need educ,SARCASM
do you even know what the definition of a bigot is you only need look in the mirror hahahahah,SARCASM
i would not call cnn bbc garbage but you surely know,SARCASM
lol someone using the resist ht while calling gop extremist,SARCASM
honey you are the one not abiding the law or constitution a president wa legally lawfully elected you riot hypocrite,SARCASM
just trying to figure out the truth from the lie apparently not,SARCASM
pleasing but not too pleasing or else you alone will be responsible for any thing bad that happens to you because,SARCASM
2 month and no fishing no wonder you are an angry white man,SARCASM
also let u not forget pm sexual assault charge tenn and how quickly quietly nfl squashed his ped scandal,SARCASM
no wonder christian accuse jew of betraying jesus and putting him on the cross,SARCASM
i am assuming that the of you using a computer of mobile phone to post this is not lost on you,SARCASM
that is the point trump took away the credential of reporter a well,SARCASM
my patter is cringeworthy did you use google to find that word and you call me a bheast in same sentence,SARCASM
mm is a fmr pm fmr fm who ushered in liberlization and fmr rbi governor can not think such scam happened in his tenure,SARCASM
also funny that you are now attacking me and not the message climate brawl,SARCASM
yep and you have demonstrated your ignorance by prejudging someone about whom you know nothing which wa my point,SARCASM
i am pointing out the of penny calling out clinton while doing the same thing himself,SARCASM
huh they are debating a rule i wonder what rule some gentlelady claiming the democrat did not uncover one single piece of evidence some major league gas lighting there for bonus point washington is broken also sham charade and we should stop wasting time,SARCASM
it is the of the word not the fact it is misspelt freudian slip un president ed,SARCASM
what i am dreading is an earnest progressive white man opinion on the story and reaction,SARCASM
let me attempt to answer you are a younger person echoing a sad old man talking point about being set up by the fbi you parrot how comey is not a smart moral a djt the one with bad intention this is you metaphorically yelling at comey yeah get off his lawn,SARCASM
not to mention that is rich you calling someone ignorant and describing trump a not so bad,SARCASM
the person who can not use punctuation is talking about illiteracy,SARCASM
of course what are we even worried about almost bought into that better education and new technology scam there did not we,SARCASM
who need a business problem to solve when you have shiny new tech,SARCASM
mexico ha a wall on their southern border and their law carry harsher punishment than ours insanity,SARCASM
everyday morning i wake with one dream tht my return order will be picked up my refund will be given,SARCASM
i guess we need to show the same respect a is shown to king obama,SARCASM
call someone an idiot online then post this,SARCASM
finally isn t a white person being hateful islam those who disbelieve from among the people of the book and among the polytheist will be in hell fire to dwell therein for aye they are the worst of creature 986,SARCASM
that is the exact same verse the priest recites before execution,SARCASM
yeah i totally want my tax going to refugee,SARCASM
police wa bystander or rather accomplice in this event,SARCASM
terrible practice how dare you let your kid flounder in mediocrity,SARCASM
first time i wa ever blocked for defending a defender of trump,SARCASM
but why would oj want julian to slit his wife throat,SARCASM
if those are the criterion you and those other guy must be devout atheist,SARCASM
right you listen to geller who just got caught in a huge lie about what the liar spicer said,SARCASM
perhaps she should actually watch the episode before ranting with uninformed insight,SARCASM
under the new fixed term parliament act i think she need a 55 45 majority to be able to dissolve parliament early,SARCASM
you use a fake account to make accusation of fake news,SARCASM
dammit missy youtube deleted it for violating harassment policy wtf,SARCASM
nothing like no we can t to inspire ppl to get to the poll on election day yaey biden i get a bit orgasmic evrytime biden list me the thing i can not have tell me nothing will fundamentally change biden2020 biden crime family marianne 2020,SARCASM
like you gave president obama respect i did not think so,SARCASM
say an ex army person programmed to do and believe what he is told,SARCASM
more pay for le work oh yeah that s going to happen,SARCASM
twitter is such a wonderful place unfortunately twitter is full of guy who do this and not to just 19 year old woman woman in general during a no mercy ppv a few year ago a guy dmd me and said all kind of stuff he wa married with a son i put his dm online,SARCASM
but come on see some humor what bill lied about donald brag about bill wa impeached for lying about an affair donald wa impeached for read note trying to manipulate an election family of both this is a political hit job,SARCASM
wonder if peter is aware that he just put his own view point in check mate at it best here,SARCASM
yes that is why we elected a tory government that his first order of business is to require photo id to vote on a nation that ha no official photo id documentation we really dodged a bullet there with the eu did not we,SARCASM
julia she wanted everyone to know she is the true victim in all of this,SARCASM
because that is democracy the voter are entitled to know exactly where the top candidate in the race stand on the issue christy is just afraid of being called out on specific policy she doe not want to defend her record sound like the recipe for a great rep,SARCASM
i do not really get that part but some woman hit out at other woman to just get the attention of men,SARCASM
guy with trump for life tag line insult someone else for being nothing but a follower winning,SARCASM
what you don t think that this abrupt severe stenosis with a nipple and no thrombosis in pt with known risk factor is clearly tos,SARCASM
sorry i forgot to use the font i am loving your video it giving me idea and inspiration for some stuff i would like to try,SARCASM
yeh you recognize the same thing wa said about israel before tell that to the child of palestine,SARCASM
well i have tried a tweet the internet is an obviously a difficult area for,SARCASM
yeah but at some point you have to it caused their failure which you just hate to see,SARCASM
you did that with your tweet response to me,SARCASM
so follower indicates top notch hitler had a bunch of follower too sound top notch,SARCASM
ur entire beef with the star war writer is over something he said,SARCASM
err no you lot do not want fom surely you do not want foreigner to come and work here,SARCASM
haha that very criticism fall into my second category or the bottom tier of that hierarchy,SARCASM
you really aren t smart are you what wa ironic wa he wa mocking the person because she looked hispanic thus asking to see her green card you know what hispanic visiting this country should have,SARCASM
oh and that is because everybody who doe not agree with me are idiot but that is besides the point lol,SARCASM
yeah that is what we think some do some do not probably a 52 48 split,SARCASM
we lost today pal that is football and you are right these tallaght kid are sheltered no street up here,SARCASM
because clearly a 7 game schedule is absolutely the same a a 20 game schedule so why not do it the same a every other sport,SARCASM
parliament get it is sovereignty from the people you chose to give it away on june 23rd the,SARCASM
