Unnamed: 0,type,statement
1916,positive,you cool
247,negative,flight scheduled for pmtold at am that flight is cancelled flightled after sitting on cold plane for hour
4152,positive,doing a good thing holding flight for a few for peep on late flight connecting flight we will still make destination on time
320,negative,broke the stroller my wife and baby gate checked they told her it is not their problem calling the a list preferred line now
560,neutral,but good luck getting there not cool
725,positive,i have dmd you thanks
4135,neutral,hi i am trying to find a flight to the middle east
184,neutral,helloare flight taking off from airport this noon am supposed to travel on flight to san antonio
678,neutral,when i click that link it want my flight info i have not booked a flight yet i read you waive fee for military it this true
755,negative,flight been sitting gate for min w door open since we arrived still no jet bridge can someone help
723,negative,umm unexpected unexpected meaning you guy did not know you had a major staff shortage
987,negative,disappointed in the service will be missing my connection after over an hour delay cramped seat at least their app is good
331,neutral,we checked in right at hr mark boarding c group with kid age amp dnt want to be split what sld we do
3896,neutral,filled in the form you sent the link to on and then either or
931,negative,if it i have not rebooked did not get notified that it wa cancelled flightled
2873,neutral,super spring tide and tide of the century drawing tourist to french and uk coast http tco gxdqortss
3815,neutral,how can we get help with a hotel we booked with you and are having issue with
3389,positive,listening center is open seating just like on their plane ragandisney
3839,positive,just sent thanks
5042,positive,orthodoc on call to in flight glad to have been of service
1778,neutral,of my tray table is broken what do i do
1277,negative,attempting ckin for flight on all day site unable to retrieve detail called twice and disconnected
79,negative,i have never seen such incompetency from a gate agent in year of business travel dfw b gate agent need training or new job
4851,positive,ok thank you
4968,positive,great smooth flight too
158,negative,i am pregnant with twin and you are going to abandon me overnight in an airport no hotel when it is your fault
3064,neutral,thanks ua den min on tarmac
3944,positive,thank you
3459,neutral,just signed up for trueblue and booked a flight but keep getting an error when i try to link it to my tb account what is the deal
5282,positive,ha the best customer service
1474,neutral,am hour from airport sure would like to talk to someone
4540,neutral,not blaming jet blue this wa not weather can not have plane in the air and runway a mess that is a disaster waiting to happen
3354,neutral,amp what are your weight restriction for carry on luggage can find measurement but not weight restriction tia
1597,negative,bag mia since wednesday still no word where it is or if we will ever see it again lostluggage frustrated
1412,negative,loses my luggage and loses my reservation after a hour travel day i just want to get to in the am
2686,neutral,any official word whether flight from bwi to manchester is cancelled flightled i have got an hr drive in snow if it is
3172,positive,ok gotcha
4885,positive,thank you
3129,neutral,s ceo battle to appease passenger and wall street lake wylie pilot http tco jgorvdis
3225,positive,outsource it all united airlinesyour customer are just loving you for it outsource outsource outsource
4308,positive,such a suprise new vanity kit set for frequent traveller thank you aa http tco fanygnux
284,negative,you rerouted my bfs flight and he is diabetic with little insulin even though we tried to change it the agent would not do it
321,neutral,unfortunately no but hoping i can catch one sometime in the near future
1828,neutral,really caring
1512,negative,absolutely worst experience of my life at phl hr failed departure gate and zero communication or help
578,neutral,what is going on in clt
3568,neutral,can you tell me why flight from dfw to phl wa cancelled flightled for tomorrow
99,negative,but it is hard to stay upset at someone when they at least try to show remorse
1529,negative,flight today cancelled flighted in phl dozen of other flight still going on hold for hr i need to get to my job interview
43,negative,who intentionally buy a flight with a hour layover and what kind of airline would charge to fix it wow usairways
1478,neutral,or how about a way lax nycarea under is this possible
377,positive,thank you
92,neutral,when will direct flight from belfast intl to newark resume from their winter break thanks
1070,positive,happy tt to my friend hope the weather is not causing you too many headache
256,neutral,americanairlines on approach to mex http tco sedmjhiw
4446,neutral,take a lesson from they know how to treat customer
2993,neutral,i have many allergy and want to know if i can bring an oz bottle of benadryl on the flight along with my epipens
867,negative,completed if that is the case then why doe it still say in progress on paypals website i reserved on the th
795,positive,great flight and great view http tco aufmxdaj
975,negative,three hour flight delay on the phone for min and counting
1171,negative,every other city on your nationwide sale ha fabulous fare why nothing from buffalo except for city
3103,neutral,i would like to receive offer
986,neutral,airline ceo jeff smisek disloyal to loyal worker http tco cevypb via
703,positive,thank you
1162,positive,got it thanks
1564,negative,which just speaks to basically the worst designed web system ever
1426,negative,is really good at deferring responsibility
240,neutral,my ticket wa booked to cun doe the arrival time reflect that cun is now on est time
3441,neutral,s new ceo seek the right balance to please passenger and wall greenfield daily reporter http tco lmopxkxch
1581,negative,work would be much better with my lesson plan and music for my class today
5924,positive,know what is up that blackhistorymonth commercial just another thing to add to reason why i fly with southwestairlines
803,negative,that is extra hour of travel time missed vacation time and now you guy are messing with my professional life
95,negative,no my flight plan have been delayed until tuesday due to your computer crash
463,positive,airport snow removal method keep up the good work folk this is where cessnas become s http tco vtmusjvu
1147,negative,what kind of hypocrisy is that only cancelled flightling ticket with bad exchange rate if in your advantage united
218,negative,can we get a honest update on departure of flite been on plane with infant child
1377,neutral,i look forward to getting this resolved i will be in touch
2504,neutral,lol the fleet on fleek i see you all ballin new jet on deck
1552,neutral,southwest is currently awaiting government approval for this route do we know when it will be official
168,negative,sits on a throne of lie
600,negative,i never got an email confirmation for my ticket but the credit card wa charged phone wait time is crazy is there a chat
2914,neutral,to begin dallas austin flight in april ketr http tco ssuvwwkyhh
712,negative,this ha been the worst flight experience i have ever had thank you for ending my vacation on such a bad note
3073,neutral,how can i change without penalty and not have to call customer service
444,neutral,thank youi know it is a busy for you today but any help would be appreciated
2039,neutral,dm sent a requested make sure you follow back so you can dm me back thanks
4204,neutral,is there also a way i can get a printed one for my record i keep them whenever i fly
296,neutral,how do i redeem my pas to the admiral club i have free visit with my barclay card membership and can i bring a companion
1252,neutral,the flight is not that empty is this rude or not http tco rlpjchb
85,neutral,just played the most bizarre safety video i have ever seen http tco hlmoksxl
2260,neutral,since ua ord ewr is delayed pushing it into meal time doe that mean it will be catered with meal in first
808,positive,thanks
183,negative,i have never had anything bad to say until now no love for faithful customer
3066,positive,whoooo hooooo just crossed at my current pace i should reach for the year
2883,neutral,is there special assistance if i travel alone w kid and infant priority boarding
3281,neutral,i am flying your airline just out of lga
4456,neutral,thank you and next flight to durango then driving to farmington new mexico for work but hitting the slope in durango
979,negative,i cancelled flightled my ticket and is taking two month to refund and still waiting
921,positive,it is okayim actually a tea kind of guy anyway thanks
742,negative,why have not you updated that flight is delayed super frustrating
3611,neutral,just hoping praying for a safe flight they have had to stop and de ice our plane yet again
527,negative,delayed another hour
2617,positive,and to add to my earlier tweet this wa my daughter th bday present thank you for the hard work and making it happen
87,neutral,booked the th save me an emergency exit got to stretch out
2820,neutral,statement on lufthansa incentive offer stockhouse http tco obfjbpca
901,positive,to offer service from daytona beach to new york albany business review http tco duhbjjhx
1086,neutral,anything you can do
345,negative,just give up your service is terrible if i wa not forced to use united on certain route i never would
6099,positive,took this picture on thursday awesome http tco ivgpzsjtkw
5024,positive,flight to orlando is unable to serve hot bevy so they have made movie and alcohol complimentary that work
1615,positive,thanks idk if it still late flight but i hope i get it tonight
749,negative,cost me day of vacation and all i got wa a rude woman tell me to go to another country and figure out how to get
2382,neutral,flight
450,negative,i find it funny that responds but you do not your customer service is the worst wedontcarebecauseyoupaidalready
2599,neutral,i wannaa go to the vega show so bad id doo anything destinationdragons
5729,positive,not only wa it great but you return my call the day after could not ask for more myvxexperience
2371,neutral,go go
3597,neutral,wa on nh on united ticket rerouted to iad due to weather in jfk can you get u home on united or
5077,positive,why our fleet on fleek http tco anvbjipx
429,positive,thank you been trying for two day to set this up
4263,neutral,sure follow for a sec and i will
1707,neutral,i forgot my password and i do not know if my username is correct and i want to use my mile what i have to do
1327,negative,why will not you find my luggage without blaming everyone else
64,neutral,anywhere http tco fefhpmfple
6021,positive,will you fill it yes they will thanks bringyourown http tco daaarqbxw
1618,neutral,unveils new flight including from ohio http tco grkbjbxlk
372,neutral,stop this madness rt our fleet on fleek http tco xusbjfv
1877,positive,so relieved i am flying after listening to everyone at the neighboring gate bitch about spirit my airline better than yours
1190,neutral,what about if i booked it through orbitz my email is correct but there is a middle party
715,negative,of first seat open on ua no upgrade processed gate agent said their too busy not cool http tco kpyhckal
744,positive,reservation agent on the phone did a great job
1080,neutral,any chance they will change this to include northeast airport jetblue ha
2211,neutral,can one use a companion pas w a point flight booking problem or is it only cash fare thx
3924,neutral,san diego to chicago leaving at am tomorrow
373,positive,ok have sent you info via dm i appreciate your help and consideration
3201,positive,she helped me with my problem so easily and wa so nice you guy rock
3372,positive,holy high speed internet batman speed at united club at iad are insanely fast thanks
4172,neutral,we invite to fallow learn about our activitiesprevention program of health by condom rito familywe are cthanks
4068,positive,s flight flight booking problem experience is pretty great
3522,positive,ewr agent barbara wa fabulous and an example of cust serv a pleasure talking to you http tco kmqulyge
4589,positive,thanks for looking into this and for getting back to me via dm glad to hear my bag is finally being delivered to me thanks again
4595,positive,thanks for the great customer service family made it back to sat safely the weather at dfw made thing a little worrisome
4979,positive,well you guy are totally kicking a million pound of as bar none the best sm team in the airline industry in my opinion
212,negative,doe not want me to get home
1049,neutral,my birthday is during destinationdragons could i get tix http tco xhcacjax
3789,neutral,some compensation eg upgrade to higher class for my rescheduled flight to muc today will be appreciated though
376,negative,i have been on hold for approaching hr for an issue when i changed my ticket online frustrating
1091,negative,you all say flt is on time yet we have not boarded for a departure b c we are waiting on a new crew why the subterfuge
1071,neutral,you just tight that you are on the world best airline list amp is ranked higher here i come
4215,neutral,do you have any afternoon flight going from bqn to jfk i only seem to find early morning flight
606,negative,h student from ithaca ny stuck in miami flts xld you will not rebook to get kid home use carrier alliance rulesshouldbend
842,positive,safety first lovejetblue
3215,neutral,i have a flight to vega coming up soon but have not received any drink ticket late flightly can you help me out
927,positive,you all work hard at making sure thing flow smoothly keeping positive
868,neutral,wife rr pt expired a few day ago were planning on flight booking problem trip today anything you can do for u on a tight budget
1462,negative,flt is on the ground but you do not have a gate for u at dca why is this happening
5033,positive,thanks
4450,neutral,can someone rebook me please direct message me
1047,negative,unable to access the website will try again
395,negative,you may dislike delay but i paid you we had an agreement that i paid you and you got me to my destination at a certain time
1626,positive,nice and early back home http tco gegnghmie
433,negative,why doe not anyone make a better effort to retain customer it should be an easy fix i just want to travel aa
430,negative,your wifi is shit fix that up before i jump out of the closest bloody fucking emergency exit
3077,positive,great to see the redsox plane and your reminder you ny side by side at jfk catsanddogslivingtogether http tco kfuyyokufv
4562,neutral,if i qualify for free st checked bag is that applied at checkin same for using companion ticket
3783,positive,awesome i will book my next christmas vacatinn this december any other way you want to devalue mileage plus
2561,positive,make flying for fun flight crew just led the plane in singing happy birthday to one of our guy luvintheair
1344,negative,just called reservation can not change just able to put note on re problem is tsa
188,negative,while i am sensitive to this fact i do not believe that warrant poor service a little help amp compassion go a long way
520,negative,is there anyone answering phone today listening to same damn message for minute
367,negative,this is getting ridiculous now we are missing our connection
829,negative,i did dm the detail back on when this started with phone number to reach me no reply either online or by phone
5562,positive,incredible pr team
1506,neutral,do you have mint service from nyc to san diego
3790,positive,love flying southwest best flight attendant ever
1096,negative,because your gate attendant let someone board whose boarding pas kept reading invalid this messed up the passenger log
1163,negative,trip in a row with missing luggage just like last time i pay for baggage to be transported
468,negative,been on hold over minute you can fly but not answer the phone
326,positive,just received it actually thank you
824,negative,after day no bag amazing the way that you neglect customer
885,negative,it is poop and barely work
2918,neutral,here is the photo http tco vmquurzupw
5869,positive,love all three but you really can not beat the classic
684,negative,flight cancelled flightled can not go home until tomorrow i could use dinner and a play it is my first time in nyc
685,negative,there is an hour wait here for reflight booking problem in line at omaha
747,negative,yes myself and about other people also
4233,neutral,still have not been able to get through thanks for responding
1298,neutral,thank you although we are using our mile from our card and flight booking problem companion ticket which can only be booked over the phone
209,positive,your employee were great
3885,positive,thanks yup i am all set it happens slc ground staff were prompt helpful and courteous
652,negative,do not need this link after getting a person you now say you do not know where bag are lost on a nonstop phx to jfk
3050,neutral,partner with checkout a mobile payment method to help boost mobile conversion rate etailwest payment visa
1607,neutral,i hope so because i fly very often and would hate to change airline
639,negative,membership ha no privilege anymore my son is in the army short window to see him no help
170,negative,late flightly you have always been late flight please get back to the old swa
1061,negative,pls help me get this resolved amp reimbursement made gracias rico pls send me private msg with phone number or email address
5540,positive,yes just a few minute after my tweet she wa able to reschedule her flight thanks
2488,positive,i love this song lt thanks
201,negative,it is cool your customer told me they did not care either it is expected
2672,neutral,i think i left something on the plane yesterday who do i callah
3650,neutral,you do not have those ability anywhere not at the ticket counter at cust service or online that is why we are done here
2991,neutral,how is mexico not international from the u
5766,positive,so glad you guy do business w more class than ur competitor
272,negative,is overweight so you pull dozen passenger off why not luggage seriously
2481,positive,smf to jfk
4192,neutral,on all your flight
35,negative,but the hour policy when i called and they said i did not report it soon enough what would have changed if i had noticed sooner
2988,neutral,to start xdaily b flight from columbus oh to boston on aug avgeek
412,negative,this mean within one week i will have filed compensation complaint to your website
152,negative,seriously with all the service issue you are having right now this is what you decide to tweet unbelievable
2165,positive,thanks good time there and back vodkatonics the entire flightsfo
1302,negative,min wait to get de iced in tulsanot good servicelooks like everyone will miss connection not due to weather fight is on
390,negative,i understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding smh come on
3045,positive,captain on flight from phx phl at tonight wa hilarious greeting from the pointy end of the airplane haha thanks
5421,positive,come back to phl already we need you to take u out of this horrible cold pleasecomeback http tco glxfwpnqh
181,neutral,i forgot to put my tsa pre number in before i checked in it is now in my profile but will it be on my boarding pas in the am
617,positive,we had early bird and it wa great your employee were awesome it wa passenger who killed the buzz
5805,positive,thank you
1259,positive,have michelle at t ord train your other staff on how to treat customer a refreshing pleasure to deal with
274,negative,have better customer service at john wayne airport
5603,positive,many trip coming up i will see you soon
5920,positive,best customer service rep in the world irmafromdallas take the cake
1367,negative,ala it wa pretty full so we had to entertain ourselves with witty repartee
4620,positive,i would love for you to fly my best friend home to pvd for a weekend http tco chnmjymgh
4610,positive,which also had working wc in coach good thing this bird landed ahead of schedule i have to use the wc stat
1400,negative,i did not have time to take my wet clothes suit back to the airport and wa not going to pay for another cab to do so
1103,negative,is synonymous to with rude and cheap you really do not know how to value the customer
1956,neutral,how doe one downgrade a flight
1216,negative,why will not you help me get my luggage back i am a teen trying to change the world in dc flight usairways
3523,neutral,sound fun how doe that work
70,neutral,could you tell me if this bag would be accepted a a personal item can i bring one carry on bag plus this http tco uczplhl
2182,neutral,i left something on a plane landing at midway last night because i am a responsible adult got a number for me to call ty
2351,neutral,conf number fmjtyl delayed any chance of getting an earlier flight fll to phx
253,negative,no it weighed and it wa the only checked bag
1045,negative,got it wish they would communicate more w u
628,positive,thx replying after trying get thru many time amp v mail or people hanging up on u we talked techcontd
4349,neutral,i have d and d embossed badge and patch superior to the one you are currently using http tco fqxelbon
1059,negative,so great aa sitting for an hour first technical problem now what
2935,positive,hopefully now my application for jetblue donut designer will finally go through the proper channel
4018,neutral,is there anyone online that can help the flight leaf in hr
5676,positive,weather keep slowing u down not your fault this is the st time a southwest flight of mine wa late flight so i can not complain
493,negative,jason you will end up missing your connection please see our dfw agent for assistance nope ha not taken off yet still
1632,neutral,oops sorry done
103,neutral,to start xdaily erj flight from chicago to evansville on jun avgeek
105,positive,i left my comment with customer care thanks for contacting me
1200,positive,your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry you rock
2304,neutral,to battle on route http tco rlzebkx via
787,negative,just boarded ua wa refused from carrying overhead bag a no space in plane now with load of space fail customerexperience
788,negative,i am saying i made the flight but with poor non communication unaccounted for lost time amp lot of frustrated flyer standing around
5416,positive,your clt baggage crew deserves a kudos i had to run to make my connection and my bag still made it customerservice
3903,neutral,just disappointed with the flight booking problem process and addl fee to sit together on a more crowded flight not impressed so far
382,negative,right we are delayed so i am crabby also why do you allow one family member to purchase earlybird check in and hold row
4015,positive,americanview sweet home chicago http tco jiclvts
65,negative,i have to spend more than the cost of the flight just to get a free room and transportation to and from the airport
467,negative,delayed hr flight pit iad finally board the plane sit half hour amp crew is at their hr limit amp we deplane unacceptable
1024,neutral,yay and are dependent with id wife child eligible to use this discount too how do you use it over the phone inperson
77,positive,lmfaooo our fleet on fleek http tco grnmyuqe
3147,neutral,is it on a flight now thanks for reply
1989,neutral,sigh our fleet on fleek http tco wnlaybl
401,positive,thanks for the opportunity
2588,neutral,are there discount every tuesday because i am leaving fron birmingham airport to san fran next week in march sometime
137,negative,that is the flight i wa placed on after original flight to charlotte wa cancelled flightled now is on hr delay
1541,negative,you can not change my flight and not have enough operator to handle call unacceptable americanairlines
4405,neutral,followed
78,neutral,is there a phone line to call into that is not being affected by bad weather trying to book a vacation here
4059,neutral,any delay on tonight flight from dfw to sat i have family member on board
1471,neutral,wall separating in row safetyconcerns http tco ztrdwvnl
3687,neutral,follow me back so i can dm you guy
17,negative,can you not rt our fleet on fleek http tco gialyl
511,negative,this is really unhelpful why can not i rebook online http tco nosvli
1639,neutral,can you help with flight to get a y old battling cancer who need treatment in
1438,neutral,beat eps view take on southwestair va love investor business daily http tco flwmgdahxu
750,negative,is rudeness and poor customer service a job requirement at been waiting hr and still have not even seen one plane
3862,neutral,if there are empty first class seat on my flight at check in why would not i be automatically upgraded
508,negative,everyone is flight who were cancelled flightled today deserve
1547,neutral,our fleet on fleek http tco ksrfnw
735,negative,how is it that i book a flight with a reserved seat and then go to check in and find out i have no seat wtf
739,positive,i will admit you have been rather good to me over the year you have still got me hooked for now peace
4727,positive,you guy continue to impress me in houston http tco cihqnllcm
1159,positive,this make me happy i hope these are not empty promise
1530,negative,i left an item on the plane and have been calling non stop and no one ha been answering can you please help
46,positive,your blue helped bring out the color of my eye and i promise i did not eat all the free snack
4265,neutral,nice try doe not apply to philly
423,neutral,any way you can help with entry to vega event my boyfriend amp i have been fan since they are awesome
4823,positive,despite the inconvenience the situation wa handled quickly and we appreciate it very much
3175,neutral,is flight out of lga to dfw on time
2678,positive,you the real mvp http tco jwlglrw
2778,neutral,can i bring my dog on board
1095,negative,i understand why ur doing it but for someone who just traveled hour to get here early relax b flight etc adv notice maybe
2638,neutral,a soon a i can sending my son home with you saturday
1261,negative,cancelled flightled due to maintenance the plane wa there for hour get your shit together because there are a lot of people unhappy
610,positive,provides you the best logistics experience for people all over india mumbai surat navimumbai
2646,positive,ltaljx from dca to oma this morning all of the staff that helped me fix my problem were so helpful goodthingscome thanks
259,negative,last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies
252,neutral,when i checked yesterday it looked like it did did something change
1699,positive,thank you see you all soon i am excited to see the expansion of destination spread those wing
506,neutral,so important to accept others for who they are swadiversity
4639,positive,rock open letter to flight attendant http tco zfroinpszi lt my child wa inspired thank you
2812,neutral,so what is the difference between cancelled flighting and reflight booking problem will that help me avoid a change fee
3456,neutral,trying to make a connection to punta cana leave phl at
1892,positive,he just went above and beyond to be helpful
2166,positive,in my hotel now thank you
22,negative,who run the show at the airport have a boarding pas say u airway and i have to wait in american line yousuck
3126,positive,big shoutout to the crew on bos gtjfk amp jfk gtroc amp gate crew at c bos amp jfk long day of delay made better by them
1600,negative,flight aal declared state of emergency squawking
983,positive,you together are the best part of flying
2307,positive,i flew to san francisco from fort lauderdale with you last year had a fantastic time so would like to go back
3265,neutral,thanks for the fb message telling me i will have to wait between day i am waiting
1553,neutral,so any idea when the it geek will plug in the server so can be on it way to phx
225,negative,just need to know why it wa not done like it wa promised it would yesterday
846,positive,tonight you made this fred flintstone happy with an upgrade to st class http tco gkgkzlawpr
3755,neutral,i need a customer service manager to contact me please
1556,negative,waited for hour no luggage line too long left airport when flight cancelled flighted where doe luggage go on hold for hour so far
1604,negative,even tho the extra lb are still going on the plane just a a carry on where is the sense what do you say to fat people
2470,neutral,yes he and all the princess trying to get to the glassslipperchallenge at wdw
135,positive,keep the flight cheap and early on time and you are good flew and cancelled flightled my flight time last month united gt
2299,positive,thanks sent a dm to you let me know if oyu need any additional information
4568,positive,i appreciate the reply rt were so sorry to keep you waiting laura an agent will be with you shortly^cb
193,positive,airway reveals bluemanity livery travelpulse http tco fttfyfmvco
1311,positive,thanks for the information
283,negative,why i will not check my carry on watched a handler throw this bag miss the conveyer belt sat there min http tco lyoocxmsh
1417,negative,terrible service for military member and their family ridiculous unitedairlines
625,positive,thanks for helping my mom after would not let her get on her plane in orlando you are the best customerservice
3919,positive,just got my lost kindle in the mail thanks again
3165,positive,appreciate update have also appreciated our pilot effort to explain to u just now accurate authoritative comms is vital
640,neutral,thank you for asking
2152,neutral,minute to spare
1611,negative,once again your customer service rep wa rude i asked a question and in turn got attitude jane wa no help disgusted again
596,negative,you denied a mom her am flight because she needed her breast pumping part on a full flight please fix this a soon a possible freeflight
1440,negative,why will not the site let me book ticket for nov for jfk to kin
2261,neutral,i take it a a compliment that i wa mistaken several time a a member of your staff on my flight time to remove my scarf
1274,negative,no you not sorry i am trying add a day my vacation but there is a charge just change flight
5140,positive,thankyou the dal au route make my day
1329,negative,i am trying to make change reservation and getting extremely frustrated giving up and trying another airline
1675,positive,done just now thanks
485,negative,so you are saying that customer care doe not report to anyone their response is humiliating for a company that serf the public
2126,neutral,would love tix for velour show entered every contest and still have not won
2505,neutral,will i get the full amount credited to my account for u airway credit
340,negative,will not waive fee due to neptune can not use credit w of paying fee could not get to destination to use their tic waivethefee
285,negative,there is a lot of talk and no doing mia sfo on a year old plane nonewplanes old shame http tco twetpxuppn
510,neutral,jetblue reading the nytimes our fleet on fleek http tco lvirtdtqly
922,negative,held up for almost minute and then promised free movie and it did not work and neither did the wifi that wa paid for boo
3494,neutral,it is time for a direct flight from jfk to pitt official jetblue terminal new york http tco qygxgmdsn
244,negative,when will email address username sign on be available it is been a while
3393,positive,great flight yesterday from msy to au thank you for such great safetyservice and beautiful sky http tco xeqyahfvz
5993,positive,thank you
1467,negative,your onboard wifi is so bad it is taking me minute to send this tweet working is off the table disappointed
1067,negative,the issue is the lack of consideration of an announcement made so late flight when the gate agent had been there for over an hour
2067,neutral,can you guy help me please
966,neutral,airline is changing it mileageplus program winner and loser http tco fyvaioul http tco vglxykwqg
4218,neutral,yes it wa sunday
2907,neutral,may i have my companion pas please
72,positive,what a great first night destinationdragons http tco nlrfouay
1090,positive,luvin me some flight today do not change and please add paypal a payment option
1425,neutral,using jetblue mile
999,negative,ticket could not be used bc unable to get to departing dest rsw bc of blizzard in bos told only way to use credit is fine
280,negative,did i mention one bag is an infant car seat amp we have been stuck with yr poor replacement on icy mtn road
700,negative,your agent did not say
1733,neutral,what do i do if something is missing from my checked baggage
5198,positive,got to love those skycap solving problem faster than anyone else in the terminal and they did it with a smile on their face
3554,neutral,i left something on a recent flight today who do i contact to retrieve it please thanks
3873,positive,thanks
3502,neutral,how do i add my tsa pre number to an existing reservation
4561,neutral,update on flight would be appreciated when you have time thanks
1054,negative,thank you for the worst experience ever on an airline from me to you i hope your embarrassed a an airline pathetic
4771,positive,nawww united is my fave airline
471,negative,been on hold to rebook a flight to cmh for hr your rebook website is crashed
318,negative,is there something wrong with the website no matter what flight i select it say it is no longer available
1324,negative,please do not go to the check in process us at mco it is an absolute disaster
1144,neutral,airway corporation jblu loses on news that airway wallstreet scope http tco ofwabws
1208,positive,very nicely done
1690,neutral,she need a wheelchair at the gate for sure what option doe she have
3604,positive,totally would have but the outside view wa even more camera ready haha evenmorespace evenmoreview http tco dxuxdbfd
1505,negative,customer service you should not use those word wasted my time and took my money badbussiness theft http tco zaqltf
1375,negative,do you know how to use twitter bro your terminal look like it is in bosnia here is another pic http tco mnywrkbs
688,positive,thank you so much that help a lot
2475,neutral,now out of a gate and into main terminal dca member keeping watch from atct avgeek http tco hpsieaokwh
832,negative,finally made it to chicago hour late flight did get a food voucher for my waitabout per hr never again good bye
4306,neutral,our fleet on fleek http tco xxqscjll freberg
1224,negative,been on hold for hr can not get airport flight icy country backroads help pls can a human answer bna
5115,positive,thanks i hope so maybe you can put in a good word for me
6012,positive,ha some of the best airfare price got to love them
227,negative,why are you all trying to fly me to chicago when i do not live there send me home now bullshit as customer service
153,neutral,will do i also passed the website around to other passenger
323,negative,trip cut hr short due to flight change massive layover no peanut or cracker asked for ho and received about oz
869,negative,on hold for minute trying to rebook a cancelled flightled flight with a companion ticket help
5316,positive,despite shaky connection look like i will get home tonight great job wa touch and go for a while
571,negative,why do not you ever print my known traveler number on my ticket because of this i never get to use the tsa prescreen i paid for
1257,positive,messaged you thanks
2842,neutral,off to vega http tco aygaoebuu
2058,neutral,connecticut
1010,neutral,i have a question i need to talk to someone by email can you give me your email address thanks
5916,positive,thank you finally got our bag customer service rep were wonderful
1961,neutral,hi i read there are weather warning on the east coast of the u would a flight from lhr to sfo be affected
3854,neutral,alright i hope my jetblue app is showing a change in my seat and online show an a do not want any surprise
1172,negative,thanks for the response flight time ha passed rebooked now
1052,negative,appreciate the call when flight delayed but the recorded msg is tedious amp just go on amp on i vote for text if practical
770,negative,thx for checking in never got through via phone on hold over hour how long is too long to wait on hold ugh csfail
1762,neutral,contact via fb message twitter dm or text
2552,positive,provide a voucher for one of my customer and i will tweet about you all day long earnedmybusiness
3831,neutral,we have sent you more info via dm i truly hope you resolve this very quickly medium filmcrew cnn nbc
387,negative,is there not a faster way to get me to columbia sc than making me stay in clt over night after my delayed flight
11,neutral,what is the easiest way to get a ticket receipt can i get one at check in or can i get one online thanks
5706,positive,i have flight with you in the next two week let u make some good memory
4333,neutral,hi guy can you tell me what the emergency is for aa diverting to heathrow from zurich new york thanks john
25,neutral,i am flying from msp to dxb my child will turn during the trip do i have to buy a return ticket for my child
5121,positive,alright done alternatively if you would like to charter a private jet for me to pitt i will gladly accept
835,negative,his cell phone record need to be checked to see who did conversed with i trust the faa can handle this better
302,negative,dropping passenger with small baby and infant at your san juan terminal a unloading baby officer writes me ticket for
4552,neutral,what is the status of flight out of sju
1124,neutral,ua need de icing stat we have waited our turn
119,negative,for tomorrow some site show flight from ewr cancelled flightled is it
3516,positive,great thank you
1341,neutral,the en rt reminder from well be tweeting from you should join u http tco nbpcjcpew
4660,positive,ahah that is why i love sw
655,neutral,i just sent a dm
3607,neutral,offer free flight for fly it forward campaign http tco yhkzkyzrr http tco wmotkqhxp via travel because
1342,positive,thank you
1460,negative,lga ord ua did not get agent name argument over baggage policy
1752,neutral,our fleet on fleek http tco xmavgw http tco elatntcir
1724,positive,i wa so glad it wa mentioned i took my first virgin flight a few year back and it wa a transformative experience
4211,neutral,need to add service dog to my itinerary for tomorrow
5963,positive,got it thanks the quick reply
1175,negative,thanks so the delay wa the result of scheduling issue more than weather relate flightd problem
1502,neutral,i have and i will draw you a super sweet picture of your choosing will that get me round trip to san diego it is so cold here
434,negative,the premier desk wa able to rebook me with our friend at only problem is now i have to pay for a checked bag
289,negative,i hope not to see the same issue on my return flight tomorrow
4429,neutral,thanks for getting back to me i called that number earlier but no option to leave vm and just ring with busy tone
3151,positive,would not mind paying for the snack but no for tix great job guy
1309,neutral,i normally ask people to put on headphonesbut not toddler maybe plane should have a kid section near the back
843,negative,thanks to your airline i now have a ruined bag and you refuse to do anything about it
3019,neutral,you please do not burn my dream burningman ticket sale today
182,neutral,have five people shown up yet
1268,negative,i just wanted southwest to know that i do not think they are a great a i used to anymore nothing to look into
4041,positive,i love southwest and payton taylor
1450,neutral,name correct on original confirmation but spelled wrong on check in reminder first name and mi run together because for concern
1415,negative,another customer non service from you if we waited for you to solve the problem we would miss the funeral you suck
96,positive,this is unbelievable thank you so much destinationdragons
598,negative,i knew the hour sounded odd missed a flight we hit jfk an hour early for and your gate attendant told u
2630,positive,thanks for the upgrade so far so good keepitup http tco bkmfeyqol
3585,positive,julie andrew all the way though wa very impressive no to
784,neutral,two year old birthdate
1039,negative,if you could get me on the flight my ha been delayed until
5308,positive,new apple crpe amazing live from ua really nice crew too americanair ha biscuit ua need them http tco gzgqdtjj
953,neutral,fkqw is the conf thanks for the reply
994,negative,missing out on over point in one account they are now spread over four assuming i create account for them
2864,neutral,yes please going to drive the hour
1280,neutral,airway hit new week high at jblu sleekmoney http tco zdkxnktou
5028,positive,thank goodness also see you friday nwk gtf boom
647,negative,lol thanks to you we had to switch to american http tco slbdrxfn
961,negative,just wow regina just told me i can not file or request a lost bag statement until i finish my travel so until i get to dc argg
