index,type,statement
4133,neutral,marks 15th year with bluemanity plane design   httpskeptical_annoyed_undecided_uneasy_or_hesitant tco e5naxbue4s httpskeptical_annoyed_undecided_uneasy_or_hesitant tco klxivnbcyh
1553,neutral,so any ideas when the it geeks will plug in the servers so 639 can be on its way to phx
2399,neutral,your hold music sounds like it is from super mario bros for gameboy color
2990,neutral,i believe you have to follow me so i can send you a message
940,negative,if a business decision is made that inconveniences and possibly causes lost customers is it a good business decision cranky
578,neutral,what is going on in clt
199,positive,thankful for great service in newark seats fixed and i was seated with my daughter fab landing in fort myers
539,positive,thank you for the jetblue credit nice save happy_face_smiley
4227,positive,thanks
897,negative,stuck in philadelphia airport for 32 hours due to maintenance dreading my flight back home disgusting
41,positive,i am impressed with your super fast reply to
1566,neutral,sending now via dm
4121,neutral,just sent dm with confirmation number and passenger name on swa 3104 mco &gtcmh
3465,positive,thank you for the vouchers after the long wait on the runway saturday night at bwi i really appreciate it swfan
810,negative,not giving you a hard timejust looking for basic customer service after aa lost my bag eta on it is return please
608,positive,sfo natt the agent who helped meconfusion really did an awesome job
505,neutral,any word on whether or not flight 1971 from seattle to charlotte will have connections held or
2845,neutral,get me out of this 7 degree weatherhere we go westpalmbeachbound
489,neutral,please help aa 2258 monday cancelled flightled can you advise on reflight booking problems   refund have children and need to make plans now
2091,positive,i was so excited when i saw that you fly there ionlyflyblue
4851,positive,ok thank you
947,negative,sitting at the gate on flight 719 for an hour due to sabre being down what backup plan is in place if sabre cannot be fixed
2374,positive,always have it together you are welcome rt  you are so welcome
1338,negative,club den east or west both are disgusting httpskeptical_annoyed_undecided_uneasy_or_hesitant tco xijyrpslzk
1271,negative,service for baggage at jfk is incomprehensible no employee knows where our luggage is frm flight 424 lax to nyc its an hr wait now
1150,positive,el paso dealsmay
3950,positive,sounds like a date
1068,negative,disappointed we were not allowed to bring on an aircraft approved carseat on an empty plane not cool
280,negative,did i mention one bag is an infant car seat &amp we have been stuck with yr poor replacement on icy mtn roads
4844,positive,hmmmseems like this could be something to be changed to be more flyerfriendly
1250,neutral,is your partnership with hawaiian live earn hawaiian miles flying jetblue  if so how do i add to my jb flight booking problems 
966,neutral,airlines is changing its mileageplus program winners and losers httpskeptical_annoyed_undecided_uneasy_or_hesitant tco f1yvaio9ul httpskeptical_annoyed_undecided_uneasy_or_hesitant tco vglx6ykwqg
162,negative,get flight 16 into the air
2314,positive,awesome
1518,negative,3 months of straight travel ahead time to find new airline
107,negative,that is okyou may keep my 25 and lose my bag with no info but you no longer have my trust bad way to handle this
3031,neutral,no her lunch was over by the time she got her call answered
4281,neutral,i have someone driving me it is best to get a wheelchair once i get inside
2859,neutral,please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 914 329 0185
3707,neutral,787 to begin newark london heathrow route on may 6 httpskeptical_annoyed_undecided_uneasy_or_hesitant tco rdj1mwflg1
3016,positive, beautiful shot thanks for sharing using flyfi to post wink_or_smirk your welcome not on this flight it was a quickiewink_or_smirk
2821,neutral,hey any chance you have an update on flight 99 hartford to dc
3586,neutral,basically you right now httpskeptical_annoyed_undecided_uneasy_or_hesitant tco in24bpb7dw
3928,positive,looking cool
2177,positive,cxl flight rebooked 2 pax no problems thank you and everyone at aa for helping us all out
1610,neutral,i would like to know if its possiable to checkin online or must it be done at schiphol
9,positive,yeah haha never been in one it is expensive and we will so much fun destinationdragons
998,negative,i gave up httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 2edgc6tbls
1045,negative,got it wish they would communicate more w us
368,negative,you really should clean the food and coffee stains off of the area around the seats when new passengers come aboard gross
1117,neutral,bagage which i take to in the cabin i do not need to check incorrect
458,positive,although it was not totally the answer i was looking for i appreciate the prompt response
3705,neutral,255 tomorrow from ric to bos looking good or am i better rescheduling
2835,positive,+ = outstanding customer service thank you
2133,neutral,will you please work out a contract with to offer service there
1116,neutral,reference  261093929756
2941,neutral,thank you for opening the conversation i hope you can make it right
6077,positive,i hope i get the opportunity to join the team with this job opening
1366,negative,do not think any1 rly knows what is goin on supposed 2 leave at 8happy_face_smiley0a then 9a then 9happy_face_smiley0a then 10a then 11a then 11happy_face_smiley0a now 12
2388,positive,wow awesome videos guys httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco dbcvepn5qc great work bluemanity corevalues passion aerojobmarket avgeek
314,positive,thanks it would be better from the gate agent at c14 in charlotte boarding flight 1791
4918,positive,your customer service agent bonnie is amazing on the phone she deserves a promotion
537,negative,i am aware of the flight details thanks three hours late flight a crew that could not give less of a shit
2716,positive,fll to mde great flight great customer service thanks 2 mths waiting to speak to a human at customer service
739,positive,i will admit you have been rather good to me over the years you have still got me hooked for nowconfusion peace
1571,negative,two hour delay for a plane that was visible from the airport so far terrible customer service neveragain
5485,positive,your airline sounds outstanding and your twitter feed is clearly extremely useful keep up the great work
1138,negative,owen f at dca gate 42 rude
4274,neutral,schedule is open through the end of october got columbus day wknd in new england for ~50k points for 4 check your calendar
4427,neutral,just realized my love voucher expired today frown_sad_andry_or_pouting any chance of getting some love with an extension please veryloyalcustomer
2589,neutral,states faundation was by faith judeo cristian it was by ideologias httpskeptical_annoyed_undecided_uneasy_or_hesitant tco mwbk68k0a3
413,positive,  thanks for your helpgot me what i need but its an issue with i guess i sit awhile longer
5924,positive,knows what is up that blackhistorymonth commercial just another thing to add to reasons why i fly with southwestairlines
2247,neutral,obviously
5368,positive,he is so excellent and so reliable happy_face_or_smiley happycustomer
580,negative,your app says flight ua936 to zrh departed 245hrs late flight but 5 hours late flightr we are still seating inside the plane in iad failed
729,negative,lost 4 loyal customers and mileage plus card holders we could have driven to florida from pa quicker both ways worst trip ever
883,negative,  been on hold with reservations for over 30 min already worstairline
442,negative,unsmiling rep told us hotel shuttle comes like every 15 minutes breezy 30 min late flightr we are taking a cab you going to reimburse
3727,neutral,i am flying on one right this minute
4136,positive,thanks so much  my passport was recovered
3990,positive,in miami and the agents rachel wong and marisol pimentel were very pleasant in a world of chaos a big thank you
3668,neutral,yo give their plane back they are mad &amp threatening to take away my companion pass love
5303,positive,thank you
726,negative,i was on hold for over 20 minutes and was talking to one of your employees i asked him for name or id  and he hung up in my face
1408,neutral,do you know if there is wifi on this flight if so how much is it thank you happy_face_smiley
756,negative,still sitting here waiting for a plane4 hours wasted
1556,negative,waited for 3 hours no luggage line too long left airport when flight cancelled flighted where does luggage go on hold for 1 hour so far
703,positive,thank you
376,negative,i have been on hold for approaching 2 hrs for an issue when i changed my ticket online frustrating
1428,negative,thank you ^ah still wish someone picked up the phone   3hrs  dead phone taking your tweet as a refund confirmation
1091,negative,you all say flt 4200 is on time yet we have not boarded for a 3happy_face_smiley5 departure b c we are waiting on a new crew why the subterfuge
1738,neutral,checking into a flight on your website is about as easy as asking a bear to shit in a toilet justsaying
4648,positive,thank you alicia exceptionalservice
4611,positive,thank you there was one here a few months ago but none now weird you do not have a club in one of the busiest airports in the us
3882,neutral,did that yesterday on the phone with them now
700,negative,your agent did not say
3594,neutral,i have got a campus visit in an hour and i am still wearing the same clothes
4976,positive,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
953,neutral,8fkqw is the conf  thanks for the reply
1179,negative,some flexibility on your part would be nice this is why i love they are flexible &amp not trying to take all my 
3805,positive,no but my friend in the picture   phillip heller jfk ifcconfusion did and he said it was delicious
4364,neutral,if i had a ticket refunded which i purchased for my brother to flycould i then used the refunded credit for me to fly respond
145,negative,5 gate changes two delays even the crew thinks the airline sucks
2947,neutral,iphone 6 64gb not 6 plusconfusion
3165,positive,appreciate update have also appreciated our pilots effort to explain to us just now accurate authoritative comms is vital
650,neutral,you need this song for your next commercial httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco ju9rhz4rqc swa love
5809,positive,i love you guys
2612,positive,haha thanks for the explanation
2926,positive,thanks
1752,neutral, our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 7xmav13g2w httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ela7tntcir
392,positive,thank you thank you thank you my last attempt to win destinationdragons tickets was a success i could not be happier happy_face_or_smiley
530,negative,  hi janet in customer service i am calling you back and have been sitting in que for 40 mins plz pick it up frustrated
2380,neutral,plane veers off runway at icy dallas airport httpskeptical_annoyed_undecided_uneasy_or_hesitant tco dw6vdvqxbb
525,positive,joni did a great job on flight 5653 to lax thanks for a great flight
782,negative,btr trained gate agts i am a frequent flyer &amp have nvr had issue w my bag 2day i was forced 2 gate check while priority boarding
718,negative,i would take the 500 voucher you offered for miscounting the  of seats on your plane but that means i would have to fly you again
1911,neutral,i would like to see markie too
1089,positive,thank you cc
147,positive,thanks jb actually as a birder i love them too they just need to be outside it should not be too hard to trap and move them
4857,positive,see you on board tomorrow
4034,neutral,i like to see if i can change flight plz help thx
3870,positive,just sent a dm thank you for the acknowledgment
2552,positive,provide a voucher for one of my customers and i will tweet about you all day long earnedmybusiness
3377,neutral,could you maybe hook  confusion with some imagine dragon tickets tonight she is a hugeeeee fan &amp would really love to go
557,negative,have been on hold for 58 minutes   need help usair   why will not you help
528,negative,admirals club at clt has rude and ignorant front desk staff you have fallen so farthanks doug parker
2078,neutral,is this accurate safety guide shown no mp3 player usage during takeoff and landing httpskeptical_annoyed_undecided_uneasy_or_hesitant tco nvk3irg4kp
901,positive,to offer service from daytona beach to new york   albany business review httpskeptical_annoyed_undecided_uneasy_or_hesitant tco duhbj41jhx
1539,negative,i booked it on us airways site do not see a cancelled flight link frown_sad_andry_or_pouting
1683,neutral,retiring with my hubby and it is our 25th wedding anniversary this year companion pass please
1039,negative,if you could get me on the 1215 flight my 1010 has been delayed until 105
57,negative,your customer service is inferior to that of a nationalized third world nations airline get it together
1739,neutral,is there an email address i can reach too long for a dm
1083,negative,i tried already and i am on the waiting list for a call back 2hourwaitsucks
1452,negative,worst airline in the world 8 delays gate agent loses her mind over 15 lbs and charges me 100 on top of the 25 i already paid
3238,positive,yesterday on my way from ewr to fll just after take off happy_face_or_smiley wheelsup jetbluesofly httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 9xkiy0kq2j
1211,positive,thanks i will look forward to the response
1079,negative,what happened this afternoon huge amt of incoming planes to sfo delayed over 1 2 hours frustrating
2282,neutral,now when will we see virginamerica come to philadelphia phlconfusion
3778,neutral,ua1469 just landed
1498,neutral,flight i want to book was 320 one day went to purchase next day &amp price doubled to 737 inquiring on chance it may go down
1177,negative,i doubt that its 1121p &amp we r still being held captive on the ground at dca a little communication from up front would b nice
4358,positive,thanks
4374,positive,this will definitely be a trip to remember ewr sti second of the season first on seat 35a because it pays to be loyal
253,negative,no it weighed 455 and it was the only checked bag
5107,positive,thanks i will use the extra time to do some more shopping did somebody say duty free
93,neutral,lgjw7b i voluntarily rerouted 1st leg of journey was in economy and was supposed to be 8b res agent said she would reserve it for me
4361,positive,glad to know i will be flying the love airline tomorrow wink_or_smirk
1202,negative,you are failing your customers because your check in process does not link to tsa pre check
1764,neutral,thanks what is your opinion on chances of getting in okay tomorrow
1537,neutral,airways short interest down 35 in january jbluconfusion   sleekmoney httpskeptical_annoyed_undecided_uneasy_or_hesitant tco znsujp86bv
2802,neutral,travel week delays cancelled flightlations if you want to learn more about the merger press 1 delay my connector in chicago deice
990,negative,fuck you for not caring
2889,neutral,can you check on he status of my etongue_sticking_out_cheeky_playful_or_blowing_a_raspberry membership card need the physical card to access some international lounges soon
410,negative,a phone call or email when you cancelled flight a flight would be lovely
2550,neutral,new marketing song httpsskeptical_annoyed_undecided_uneasy_or_hesitant tco f2lfulcbq7 let us know what you think httpskeptical_annoyed_undecided_uneasy_or_hesitant tco wbhbljjks7
286,negative,flight to dca i need to change as soon as possible help can not get through
1029,negative,appreciate what you have done on your end to make this right but still unhappy with initial incident will be calling
475,positive,your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure
207,positive,you guys did an amazing job today know its hard thanks to kate appleton for all her hard work reflight booking problems my friends and me
2405,positive,although there was a 6 hour delay every single staff member from the ticket desk to the admirals club in was as sweet as pie
462,neutral,thanks
4176,neutral,are you going to be giving travel agent rates to those who hold an iata card 
1071,neutral,you just tight that you are 59 on the worlds best airlines list &amp is ranked higher here i come
1243,positive,thank you very much
2963,neutral,leisure military personnel for safety reason r highly recommended to not travel in uniform
86,neutral,i am not sure i did the messaging part right please let me know if you received it
2617,positive,and to add to my earlier tweet this was my daughters 5th bday present thank you for the hard work and making it happen
2656,positive,thanks httpskeptical_annoyed_undecided_uneasy_or_hesitant tco pd7r1ll6re
1046,neutral,tremendous what would you recommend
1714,positive,exciting times ahead
2918,neutral,here is the photo wink_or_smirk httpskeptical_annoyed_undecided_uneasy_or_hesitant tco vmquurzupw
2493,positive,thanks just a program comment the system assigned seats behind each other even though pairs were available i changed it back
2940,neutral,if a passngr requires wheelchair to gt on plane then sits in an exit row wld they b physically capable to help in emergency
3072,neutral,or she wink_or_smirk
787,negative,just boarded ua1297 was refused from carrying overhead bag as no space in plane now with loads of space fail customerexperience
5214,positive,brandi zabsonre in denver deserves a raise for bringing delight into a terrible travel situation big ups httpskeptical_annoyed_undecided_uneasy_or_hesitant tco tk3aopdtsq
972,negative,i may need to i had a 40 minute layover and now have a 15 min delay on my first flight
1203,negative,was switched to an american airlines flight not by choice and now i am charged 50 for bags thought you all merged
1332,neutral,forget wedding fairs how about discounts for nonprofits we donate part of our worth every single day
156,negative,taylor you got to love swa responsiveness at the least huh
4752,positive,seems a few of my friends speak highly as well now we just need to find a decent priced way to go from yvr to sea and overnight
424,negative,just when i thought you guys were done messing up you make it worse your airline ruins hopes and dreams
3278,positive,kudos to robin at lost found for reuniting me w  my ipad she was delightful to work with
166,positive,i am all about the in flight artisanal cheese and wine pairing
916,negative,keeps getting better no water on the plane
2761,positive,yes always a treat to fly with you guys
1417,negative,terrible service for military members and their families ridiculous unitedairlines
2317,neutral,question all when will i receive my yearly bonus point accumulation i think it is around now but not sure thanks happy_face_or_smiley
3655,neutral,traveling with two kids tomorrow ages 7 and 4confusion domestic do they need birth certificates to check in at airport
391,negative,and do not hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion
3508,positive,absolutely
3812,positive,finally integration w  passbook is a great valentine gift   better then chocolate flight you do heart me
2297,neutral,we are off to kax premium hoping this flight is better food tv now i know how to work it and service tnx
2019,neutral,random q what is the distribution of elevate avatars i bet that kitty has a disproportionate share httpskeptical_annoyed_undecided_uneasy_or_hesitant tco aptzpurop4
3528,positive,got it all set   thanks
3045,positive,captain on flight 1712 from phx phl at 355 tonight was hilarious greetings from the pointy end of the airplane haha thanks
143,negative,no one received text alerts automated calls anything either literally no information as to what was happening
409,negative,what happens if it is not located
452,positive,thank you will do you guy are awesome
1143,negative,30 minutes flight from okc and then make us wait 30 minutes because the gate is not empty epicfail poorplanning
2662,positive,i got it added thank you happy_face_or_smiley
2773,neutral,no rt our fleets on fleek
250,negative,terminal e in miami is still the worst most smelly airport ever thanks for nothing
4937,positive,your crew on 4028 tonight was outstanding god bless them and the medically trained passengers on board
1888,positive,i adore you and am so looking forward to my flight to austin in two weeks
5480,positive,he thanks you anything you can do to help would any further information help in the process
1435,negative,on plane from bos to clt for 60 mins still at gate crew says system wide computers preventing paperwork any info you can give
1391,neutral,ok great thanks i had a great flight fyi i am excited to fly again i just was frustrated i was not able to check in
29,positive,everything for sorted out thanks for the help excited to get home tonight
1444,negative,what is up three delays so far resulting in over three hours of unnecessary extra waiting
2183,positive,thank you see you next wednesday in fll save me some peanuts
2678,positive,you the real mvp httpskeptical_annoyed_undecided_uneasy_or_hesitant tco jwl26g6lrw
1603,positive,by the grace of god i made it  we do not have those powers in here we hope you can make that flight
5434,positive,what are the chances of actually flying out of charleston today cold rainy weather in the south of all places
6012,positive,has some of the best airfare prices got to love them happy_face_or_smiley
1030,negative,still can not get through and travel in 2 days ridiculous donthavehighhopes
2605,positive,awesome thanks
4039,positive,start including pto in your getaway packages and i am all in
3760,positive,my flight attendant angel was awesome 415 kudos
431,neutral,to jump into the dallas austin market   httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ewwgi97gdx
788,negative,i am saying i made the flight but with poor non communication unaccounted for lost time &amp lots of frustrated flyers standing around
3347,neutral,at the gate iad to rdu
3713,positive,  looking forward to it when we finally take off
828,negative,complete waste of an entire day pathetic
194,negative,do not bother they do not pick up the phone worst customer service going
1261,negative,cancelled flightled due to maintenance the plane was there for 10 hours get your shit together because there are a lot of people unhappy
5143,positive,plus you have added commercials to the experience tacky
296,neutral,how do i redeem my pass to the admirals club i have 1 free visit with my barclay card membership and can i bring a companion
1510,positive,round trip tickets just arrived for our auction at the post masters invitational thanks southwest httpskeptical_annoyed_undecided_uneasy_or_hesitant tco mrfbjtepef
3853,neutral,877 from amsterdam to ewr 02272015 737 300
1877,positive,so relieved i am flying after listening to everyone at the neighboring gate bitch about spirit my airlines better than yours
171,negative,my ex boyfriend picks up my calls more than you do cancelled flightedflight nocustomerservice americanairlines fail
4633,positive,kudos for not cancelled flightling flights from dfw this morning united usually first to panic
432,negative,i do not have a conference number i spoke with courtney in texas and david before that they finally fixed mine after an hour
891,negative,extend rtn flight to bereavement 22nd i could have change fee dropped now told noworse day of my life badcustomerservice
1971,neutral,i am on 1058 tmrw from cun dfw final destn is ord seeing freezing rain in dfw all morning should i change my connection
70,neutral,could you tell me if this bag would be accepted as a personal item  can i bring one carry on bag plus this httpskeptical_annoyed_undecided_uneasy_or_hesitant tco u390czplhl
347,neutral,i was under the impression when there is an 8 hour delay in your flight because of equipment failure compensation is offered
5093,positive,you should know the crew today on flight 1071 aus to pgreat_dismay was awesome swa
1737,positive,had me at their safety video httpskeptical_annoyed_undecided_uneasy_or_hesitant tco cqmm7nue9m loved my first cross country flight livewelltraveled sytycd
1707,neutral,i forgot my password and i do not know if my username is correct and i want to use my miles what i have to do
4060,positive,perfect that works thank you
4417,positive,thanks to the gate agent in state college pa that was able to get me on an earlier flight and figure out an earlier connection
678,neutral,when i click that link it wants my flight info i have not booked a flight yet i read you waive fees for military it this true
1172,negative,thanks for the response   flight time has passed   rebooked now
2124,positive,thanks for bringing my son home to me
899,negative,our newest delay right now httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 96ftlzwtvo
2211,neutral,can one use a companion pass w  a points flight booking problems or is it only cash fares thx
1989,neutral,sigh  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco w5nl0ay9bl
1550,negative,it is not what happens to us that mattersits our response that matters way to drop the ball aa
83,negative,you can not claim weather with your hardworking crew pulling seats out of a plane do the right thing but we both know you will not
1103,negative,is synonymous to with rude and cheap you really do not know how to value the customer
2669,neutral,  kids left a kindle fire hd 6 onboard ua1037 ord sfoconfusion today row 9abc def we had the whole row amongst the 5 of usconfusion help
3745,neutral,i need to move a reservation due to weather in the middle part of the us i would like to change departing airport
4749,positive,big thanks to ricardo olavarria at reagan airport fixed our ticket and made sure we made it for our friends wedding greatservice
1478,neutral,or how about a 1way lax nycareaconfusion under 190 is this possible 
1156,negative,my flight from mco has been delayed &amp scheduled to arrive after my connection departs what options do i have
317,negative,can not get anyone to deal with me in person cowardly customer service i can not be looked in the eyes by anyone
2697,neutral,you got cheese plate flights too
5011,positive,thanks to kevin and team at f38ish at phl for some great service recovery tonight appreciate it
46,positive,your blue helped bring out the color of my eyes and i promise i did not eat all the free snacks
3240,positive,mad love httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 4ojrsdwpkk nyc 
2477,neutral,are flights from pensacola fl delayed flight 3670
4569,neutral,767 seconds from touchdown at madrid airport in april 2013 avgeek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 1ywxrfn0gr
5070,positive,i love travel with yours planes all people is very nice it is amazing can you please follow me back i love the company
308,negative,took a flight yesterday fron tpa dfw aus bag went to iah today bag went to iah dfw and then back to iah still no bag
5439,positive,thank you for the quick customer service today refundprocedurenottoopainful i know that winter weather is not your fault
609,negative,stop ur bs promos of anywhere starting at 79 i click and everywhere i would fly=130 the only place that is 79 is cle nothanks
191,negative,your people are kind and hardworking the infrastructure you have given them is horrid massivefail failphone fail
1457,negative,gf was on hold for 4 hours and call was dropped help need a flight
1506,neutral,do you have mint service from nyc to san diego
4046,neutral,what happens to frequent flyer miles earned once merger is complete with aa
4468,positive, so excited to hear about your move towards international travel from long beach airport
600,negative,i never got an email confirmation for my ticket but the credit card was charged phone wait time is crazy is there a chat
519,positive,yes thanks so much we see you spoke with our reservations team and they have reinstated the flight thanks ^ey
511,negative,this is really unhelpful why can not i rebook online httpskeptical_annoyed_undecided_uneasy_or_hesitant tco n5o43svl8i
4895,positive,that would be great thank you i will send it over when you follow
408,neutral,the opal dragon book the dragon aliconfusion has woven his murdering ways from the philippines to australia httpskeptical_annoyed_undecided_uneasy_or_hesitant tco c9p2iosphm
724,negative,cancelled flights arrivals &amp departures in nashville as of 5pm that and more weather headlines 4pm liveonfox17 februaryfreezefox17
1490,positive,you are my early frontrunner for best airline oscars2016
2144,positive,thank you
1188,negative,fyicall stilling getting dropped after an hour of continuous dialing attempted to cancelled flight online but not able to help
328,negative,now you have cancelled flightled my flight first a priority ticket bumped and now this you are losing customers people are furious
2902,positive,i wish i would have seen this 4 hours ago i wanted to see them tonight so bad crying
1335,neutral,ugh kicking myself for missing out on destinationdragons i need some back in my life httpskeptical_annoyed_undecided_uneasy_or_hesitant tco sbehi46bmk
4610,positive,441 which also had 1 working wc in coach good thing this bird landed ahead of schedule i have to use the wc stat
1155,positive,toss this ticketits great pr and i am sure every college student following me will be willing to rock out wit too
1991,neutral,our non profit arc would love tickets as we rely on airlines for extractions in saving abducted children and returning them home
1613,neutral,hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen
1321,negative,disappointment making own arrangements for me &amp my sleeping toddler with zero assistance from usair is maddening
1423,positive,thanks for making sure they hear the message
3511,positive,excellent love you guys if it is first class i will hug yall see you shortly
5381,positive,fabulous   thank you so much looking forward to taking to the skies with you happy_face_or_smiley
1269,positive,that does not look to fat to me it looks yummy
1247,negative,i am frustrated by all of the attitude toward execplat members thenewamerican
113,negative,i think problem resolution should be decided on your end especially if you would like me to continue flying your airline
439,positive,success made flight  please thank the crew of 556 great time recovery
1270,negative,i am over you evry 1st flight i take w  you is delayed &amp evry 2nd is on time so its missed evry time lastflightofthenight breakup
4682,positive,great day in the air httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ync2zut4zz
2682,neutral,in bogota with no wallet is no fun frown_sad_andry_or_pouting
406,positive,that is great thank you
722,negative,1591 had wi fi broken on plane had same outage on 1618 on friday how can southwest get it right on every plane but united can not
2460,neutral,hello swa who is your poc for partnerships with nonprofit organizations in bwi area
1733,neutral,what do i do if something is missing from my checked baggage
1851,positive,chicago seen from seat 6a aa 1620 so far a great ride on to pgreat_dismay httpskeptical_annoyed_undecided_uneasy_or_hesitant tco x4rsvagijn
2630,positive,thanks for the upgrade so far so good keepitup httpskeptical_annoyed_undecided_uneasy_or_hesitant tco bkmfey7qol
926,neutral,how many are left
4285,neutral, it is all a320s right
5300,positive,welcome to north texas us air   american air employees housing and education are great opportunities in the gr8 state of texas
5029,positive, ahoy from a loyal allyoucanjetpass holder when do you anticipate direct us flights to havana cuba jetblue vacationconfusion
1534,negative,i do not want to be too whiny we accommodated several passengers whose earlier flight was cancelled flightled our flight was very long
2117,positive,you all are the best flyfi  ondemand leatherseats hipunis legroom
5776,positive,it is really the small things  the details  that make an excellent experience or a really irritating one
1823,neutral,what does dm the confirmation mean
4528,positive,like httpskeptical_annoyed_undecided_uneasy_or_hesitant tco vpqem31xuq
4846,positive,on sunday can not wait see you then
5963,positive,got it thanks the quick reply
3663,neutral,good morning wondering why my pre tsa check was not on my boarding pass this morning
2236,positive,thanks for the upgrade today great way to start my week cc
783,neutral,what are the chances of my flight to ewr from pit being cancelled flighted tomorrow
3892,positive,oh yeah great flight down to mexico with a wonderful crew thank you
2160,positive,well plane arrived pretty much on time and it is 68 degrees on the ground in texas not much to complain about
1154,negative,why are flights still getting out of logan now you could not manage to get one out at 6 am when it was not snowing
5654,positive,i will try that thanks if all else fails i will just do the old fashioned method tomorrow morning
3024,positive,thank you for the cheese platter and abundance of entertainment options time just flew by
1104,positive,great thank you best of luck dealing with this horrible winter
5028,positive,thank goodness also see you friday nwk&gtf boom
815,negative,cancelled flights your flight then sends you an email saying think about your next flight customer outrage httpskeptical_annoyed_undecided_uneasy_or_hesitant tco kkwiwi97a4
142,neutral,thank you for your response
552,positive,me &amp are best friends because of any chance we could get tickets to destinationdragons 
2070,positive,thank you for having flights going out of nashville you guys rock disneyprincesshalfmarathon girlsweekend bffs
1025,negative,us1799 clt &gtfo in first no desert no snack basket incoming was on time  what is up
3085,neutral,of course i am
2746,neutral,i hear you and safety is 1 i think we can get to jfk though now so let us help the pilots passengers &amp crew get there safely
4589,positive,thanks for looking into this and for getting back to me via dm glad to hear my bag is finally being delivered to me thanks again
3632,neutral,will flights be leaving dallas for la on february 24th
79,negative,i have never seen such incompetency from a gate agent in years of business travel dfw b16 gate agent needs training or new job
1233,neutral,so anything found while cleaning the plane in dc would be at the baggage office even something small
1572,negative,silence is very telling
55,positive,thanks so much for help us you r amazing
781,neutral,it drops 75 when i take off the other two people and vice versa back and forth
2418,neutral,flight us 723 from to passing over at 20000 ft this morning httpskeptical_annoyed_undecided_uneasy_or_hesitant tco frd0cay6da
1019,neutral,we have already made other arrangements ourselves
190,negative,you make it hard to fly with you delayed over an hour and now the plane is turning around &amp heading back to the gate connection
2797,neutral,got transf to dividend milesneed to change flight grandma just passed need to change ticket as soon as possible update on wait time
1327,negative,why will not you find my luggage without blaming everyone else
4272,neutral,look into better service
1858,neutral,save some for 871 tomorrow am
3837,neutral, grrrrrr i need a flight there first maybe for my bday next month
799,neutral,thank you for the info changes need to be made over the phone correct is there any way an aa agent can call me directly
4336,neutral,you all got prices for the low
588,neutral,airways now covered by bank of america jbluconfusion   dakota financial news httpskeptical_annoyed_undecided_uneasy_or_hesitant tco wowxhpu5qv
2210,neutral,when is the last chance to win destinationdragon 
1108,negative,can you tell me why i waited 90 mins and then was charged the 25 phone change fee even tho i was not allow to make change online
1527,negative,what will be is a what may bewhat issucks fail
1367,negative,alas it was pretty full so we had to entertain ourselves with witty repartee
434,negative,the premier desk was able to rebook me with our friends at only problem is now i have to pay for a checked bag skeptical_annoyed_undecided_uneasy_or_hesitant
212,negative,does not want me to get home
1451,negative,so you guys cancelled flight bna flights &amp do not bother 2 alert passengers what gives
925,negative,you have to be crazy treated my mom very poorly not happy usairwaysfail
1122,negative,ohi already have turned itover to them but apparently losing someone is bag on their honeymoon does not require accountability
235,negative,you suck big donkey balls
6021,positive, will you fill it yes they will thanks bringyourown httpskeptical_annoyed_undecided_uneasy_or_hesitant tco daaa0rqbxw
668,negative,i am confused after your agents directed us to go to your website after delays nothing works httpskeptical_annoyed_undecided_uneasy_or_hesitant tco cyprhe5gok
4083,neutral,i have a party of 4 booked for a flight in aug at 1005am how can i find out how much it would cost to change to an earlier fl
411,positive,please thank mellie at cae tammy in baggage claim at clt 4 excellent customer service 2day but i have a complaint
318,negative,is there something wrong with the website no matter what flight i select it says it is no longer available
356,negative,flight 830 clt to phl i was 1st on listsomeone else got spot rude employee in coach wouldt give id said he was cute red head
3492,neutral,i applied for a position in and i was wondering if you guys received my application
2932,neutral,hi on my dividend miles account i accidentally listed my newly married name as opposed to my legal name i am trying to book
535,negative, any options to cos tonight does not look like ua5525 will make it in time for ua6259 should i reserve a hotel room
6099,positive,took this picture on thursday awesome httpskeptical_annoyed_undecided_uneasy_or_hesitant tco ivgpzsjtkw
587,neutral,will we be able to watch the oscars on our flight tomorrow
1600,negative,flight aal65 declared state of emergency squawking 7700
2971,neutral,please come to minneapolis st paul
